t,mn_production_max,mn_inventory,mn_backlog,mn_production,mn_allocation,dr_shipment_received,dr_inventory,dr_backlog,dr_orders_from_hc
0,800,0.0,900.0,800.0,0.0,0.0,500.0,0.0,593.0
1,800,0.0,900.0,500.0,0.0,0.0,0.0,0.0,214.0
2,800,800.0,1267.0,800.0,533.0,0.0,0.0,900.0,287.0
3,800,767.0,884.0,484.0,383.0,0.0,0.0,900.0,415.0
4,800,1184.0,812.0,728.0,757.0,533.0,533.0,1267.0,485.0
5,800,911.0,0.0,-328.0,812.0,383.0,598.0,884.0,415.0
6,800,827.0,0.0,728.0,459.0,757.0,1012.0,812.0,372.0
7,800,40.0,0.0,-328.0,0.0,812.0,1253.0,0.0,277.0
8,800,768.0,0.0,728.0,516.0,459.0,1013.0,0.0,2.0
9,800,-76.0,0.0,-328.0,0.0,0.0,384.0,0.0,0.0
10,800,652.0,0.0,728.0,0.0,516.0,900.0,0.0,0.0
11,800,324.0,0.0,-328.0,0.0,0.0,900.0,0.0,0.0
12,800,1052.0,0.0,728.0,0.0,0.0,900.0,0.0,0.0
13,800,724.0,0.0,-328.0,0.0,0.0,900.0,0.0,0.0
14,800,1452.0,0.0,728.0,150.0,0.0,900.0,0.0,150.0
15,40,974.0,0.0,-328.0,215.0,0.0,750.0,0.0,215.0
16,40,1487.0,0.0,40.0,211.0,150.0,685.0,0.0,211.0
17,40,948.0,0.0,40.0,207.0,215.0,689.0,0.0,207.0
18,40,781.0,0.0,40.0,188.0,211.0,693.0,0.0,188.0
19,40,633.0,0.0,40.0,202.0,207.0,712.0,0.0,202.0
20,40,471.0,0.0,40.0,212.0,188.0,698.0,0.0,212.0
21,40,299.0,0.0,40.0,206.0,202.0,688.0,0.0,206.0
22,40,133.0,52.0,40.0,133.0,212.0,694.0,0.0,185.0
23,40,40.0,218.0,40.0,33.0,206.0,715.0,0.0,199.0
24,40,47.0,435.0,40.0,32.0,133.0,649.0,52.0,197.0
25,40,55.0,772.0,40.0,35.0,33.0,485.0,218.0,206.0
26,40,60.0,1147.0,40.0,36.0,32.0,311.0,435.0,194.0
27,40,64.0,1599.0,40.0,37.0,35.0,152.0,772.0,206.0
28,40,67.0,1966.0,40.0,37.0,36.0,36.0,1147.0,191.0
29,40,70.0,2410.0,40.0,38.0,37.0,44.0,1599.0,249.0
30,40,72.0,2772.0,40.0,38.0,37.0,51.0,1966.0,369.0
31,40,74.0,3210.0,40.0,39.0,38.0,56.0,2410.0,411.0
32,40,75.0,3568.0,40.0,39.0,38.0,61.0,2772.0,489.0
33,40,76.0,4002.0,40.0,40.0,39.0,65.0,3210.0,411.0
34,40,76.0,4358.0,40.0,39.0,39.0,68.0,3568.0,489.0
35,40,77.0,4790.0,40.0,40.0,40.0,71.0,4002.0,411.0
36,40,77.0,5144.0,40.0,40.0,39.0,72.0,4358.0,489.0
37,40,77.0,5575.0,40.0,40.0,40.0,74.0,4790.0,411.0
38,40,77.0,5929.0,40.0,39.0,40.0,75.0,5144.0,489.0
39,40,78.0,6359.0,40.0,40.0,40.0,76.0,5575.0,411.0
40,40,78.0,6712.0,40.0,40.0,39.0,76.0,5929.0,489.0
41,40,78.0,7142.0,40.0,40.0,40.0,77.0,6359.0,411.0
42,40,78.0,7495.0,40.0,40.0,40.0,77.0,6712.0,489.0
43,40,78.0,7924.0,40.0,40.0,40.0,77.0,7142.0,411.0
44,40,78.0,8278.0,40.0,39.0,40.0,78.0,7495.0,489.0
45,40,79.0,8707.0,40.0,40.0,40.0,78.0,7924.0,411.0
46,40,79.0,9060.0,40.0,40.0,39.0,77.0,8278.0,489.0
47,40,79.0,9489.0,40.0,40.0,40.0,78.0,8707.0,411.0
48,800,79.0,9842.0,800.0,40.0,40.0,78.0,9060.0,489.0
49,800,79.0,10270.0,800.0,40.0,40.0,78.0,9489.0,411.0
50,800,839.0,10236.0,800.0,427.0,40.0,79.0,9842.0,489.0
51,800,1212.0,10085.0,800.0,619.0,40.0,79.0,10270.0,411.0
52,800,1393.0,9586.0,800.0,703.0,427.0,466.0,10236.0,489.0
53,800,1490.0,9112.0,800.0,755.0,619.0,847.0,10085.0,411.0
54,800,1535.0,8415.0,800.0,770.0,703.0,1118.0,9586.0,464.0
55,800,1565.0,7807.0,800.0,790.0,755.0,1301.0,9112.0,167.0
56,800,1575.0,7032.0,800.0,788.0,770.0,1415.0,8415.0,88.0
57,800,1587.0,6370.0,800.0,801.0,790.0,1495.0,7807.0,0.0
58,800,1586.0,5577.0,800.0,793.0,788.0,1536.0,7032.0,0.0
59,800,1593.0,4888.0,800.0,804.0,801.0,1569.0,6370.0,0.0
60,800,1589.0,4094.0,800.0,794.0,793.0,1578.0,5577.0,0.0
61,800,1595.0,3390.0,800.0,807.0,804.0,1593.0,4888.0,0.0
62,800,1588.0,2597.0,800.0,794.0,794.0,1591.0,4094.0,0.0
63,800,1594.0,1883.0,800.0,811.0,807.0,1603.0,3390.0,0.0
64,800,1583.0,1096.0,696.0,792.0,794.0,1596.0,2597.0,0.0
65,800,1591.0,0.0,-296.0,1186.0,811.0,1609.0,1883.0,0.0
66,800,1101.0,0.0,696.0,514.0,792.0,1597.0,1096.0,0.0
67,800,291.0,0.0,-296.0,0.0,1186.0,1482.0,0.0,0.0
68,800,987.0,0.0,696.0,0.0,514.0,1996.0,0.0,0.0
69,800,691.0,0.0,-296.0,0.0,0.0,1996.0,0.0,0.0
70,800,1387.0,0.0,696.0,0.0,0.0,1996.0,0.0,0.0
71,800,1091.0,0.0,-296.0,0.0,0.0,1996.0,0.0,0.0
72,800,1787.0,0.0,696.0,0.0,0.0,1996.0,0.0,0.0
73,800,1491.0,0.0,-296.0,0.0,0.0,1996.0,0.0,0.0
74,800,2187.0,0.0,696.0,0.0,0.0,1996.0,0.0,0.0
75,800,1891.0,0.0,-296.0,0.0,0.0,1996.0,0.0,0.0
76,800,2587.0,0.0,696.0,0.0,0.0,1996.0,0.0,0.0
77,800,2291.0,0.0,-296.0,0.0,0.0,1996.0,0.0,0.0
78,800,2987.0,0.0,696.0,0.0,0.0,1996.0,0.0,0.0
79,800,2691.0,0.0,-296.0,0.0,0.0,1996.0,0.0,0.0
80,800,3387.0,0.0,696.0,0.0,0.0,1996.0,0.0,0.0
81,800,3091.0,0.0,-296.0,0.0,0.0,1996.0,0.0,0.0
82,800,3787.0,0.0,696.0,0.0,0.0,1996.0,0.0,0.0
83,800,3491.0,0.0,-296.0,0.0,0.0,1996.0,0.0,0.0
84,800,4187.0,0.0,696.0,0.0,0.0,1996.0,0.0,0.0
85,800,3891.0,0.0,-296.0,0.0,0.0,1996.0,0.0,0.0
86,800,4587.0,0.0,696.0,0.0,0.0,1996.0,0.0,0.0
87,800,4291.0,0.0,-296.0,0.0,0.0,1996.0,0.0,0.0
88,800,4987.0,0.0,696.0,0.0,0.0,1996.0,0.0,0.0
89,800,4691.0,0.0,-296.0,0.0,0.0,1996.0,0.0,0.0
90,800,5387.0,0.0,696.0,0.0,0.0,1996.0,0.0,0.0
91,800,5091.0,0.0,-296.0,0.0,0.0,1996.0,0.0,0.0
92,800,5787.0,0.0,696.0,0.0,0.0,1996.0,0.0,0.0
93,800,5491.0,0.0,-296.0,0.0,0.0,1996.0,0.0,0.0
94,800,6187.0,0.0,696.0,0.0,0.0,1996.0,0.0,0.0
95,800,5891.0,0.0,-296.0,0.0,0.0,1996.0,0.0,0.0
96,800,6587.0,0.0,696.0,0.0,0.0,1996.0,0.0,0.0
97,800,6291.0,0.0,-296.0,0.0,0.0,1996.0,0.0,0.0
98,800,6987.0,0.0,696.0,0.0,0.0,1996.0,0.0,0.0
99,800,6691.0,0.0,-296.0,0.0,0.0,1996.0,0.0,0.0
100,800,7387.0,0.0,696.0,0.0,0.0,1996.0,0.0,0.0
101,800,7091.0,0.0,-296.0,0.0,0.0,1996.0,0.0,0.0
102,800,7787.0,0.0,696.0,0.0,0.0,1996.0,0.0,0.0
103,800,7491.0,0.0,-296.0,0.0,0.0,1996.0,0.0,0.0
104,800,8187.0,0.0,696.0,0.0,0.0,1996.0,0.0,28.0
105,800,7891.0,0.0,-296.0,0.0,0.0,1968.0,0.0,197.0
106,800,8587.0,0.0,696.0,0.0,0.0,1771.0,0.0,196.0
107,800,8291.0,0.0,-296.0,0.0,0.0,1575.0,0.0,218.0
108,800,8987.0,0.0,696.0,0.0,0.0,1357.0,0.0,196.0
109,800,8691.0,0.0,-296.0,0.0,0.0,1161.0,0.0,207.0
110,800,9387.0,0.0,696.0,156.0,0.0,954.0,0.0,210.0
111,800,8935.0,0.0,-296.0,189.0,0.0,744.0,0.0,189.0
112,800,9442.0,0.0,696.0,224.0,156.0,711.0,0.0,224.0
113,800,8922.0,0.0,-296.0,196.0,189.0,676.0,0.0,196.0
114,800,9422.0,0.0,696.0,194.0,224.0,704.0,0.0,194.0
115,800,8932.0,0.0,-296.0,200.0,196.0,706.0,0.0,200.0
116,800,9428.0,0.0,696.0,217.0,194.0,700.0,0.0,217.0
117,800,8915.0,0.0,-296.0,200.0,200.0,683.0,0.0,200.0
118,800,9411.0,0.0,696.0,204.0,217.0,700.0,0.0,204.0
119,800,8911.0,0.0,-296.0,199.0,200.0,696.0,0.0,199.0
120,800,9408.0,0.0,696.0,201.0,204.0,701.0,0.0,201.0
121,800,8911.0,0.0,-296.0,196.0,199.0,699.0,0.0,196.0
122,800,9411.0,0.0,696.0,188.0,201.0,704.0,0.0,188.0
123,800,8927.0,0.0,-296.0,199.0,196.0,712.0,0.0,199.0
124,800,9424.0,0.0,696.0,205.0,188.0,701.0,0.0,205.0
125,800,8923.0,0.0,-296.0,205.0,199.0,695.0,0.0,205.0
126,800,9414.0,0.0,696.0,207.0,205.0,695.0,0.0,207.0
127,800,8911.0,0.0,-296.0,209.0,205.0,693.0,0.0,209.0
128,800,9398.0,0.0,696.0,215.0,207.0,691.0,0.0,215.0
129,800,8887.0,0.0,-296.0,209.0,209.0,685.0,0.0,209.0
130,800,9374.0,0.0,696.0,208.0,215.0,691.0,0.0,208.0
131,800,8870.0,0.0,-296.0,206.0,209.0,692.0,0.0,206.0
132,800,9360.0,0.0,696.0,190.0,208.0,694.0,0.0,190.0
133,800,8874.0,0.0,-296.0,194.0,206.0,710.0,0.0,194.0
134,800,9376.0,0.0,696.0,190.0,190.0,706.0,0.0,190.0
135,800,8890.0,0.0,-296.0,200.0,194.0,710.0,0.0,200.0
136,800,9386.0,0.0,696.0,188.0,190.0,700.0,0.0,188.0
137,800,8902.0,0.0,-296.0,204.0,200.0,712.0,0.0,204.0
138,800,9394.0,0.0,696.0,201.0,188.0,696.0,0.0,201.0
139,800,8897.0,0.0,-296.0,214.0,204.0,699.0,0.0,214.0
140,800,9379.0,0.0,696.0,196.0,201.0,686.0,0.0,196.0
141,800,8887.0,0.0,-296.0,198.0,214.0,704.0,0.0,198.0
142,800,9385.0,0.0,696.0,212.0,196.0,702.0,0.0,212.0
143,800,8877.0,0.0,-296.0,190.0,198.0,688.0,0.0,190.0
144,800,9383.0,0.0,696.0,194.0,212.0,710.0,0.0,194.0
145,800,8893.0,0.0,-296.0,199.0,190.0,706.0,0.0,199.0
146,800,9390.0,0.0,696.0,187.0,194.0,701.0,0.0,187.0
147,800,8907.0,0.0,-296.0,185.0,199.0,713.0,0.0,185.0
148,800,9418.0,0.0,696.0,176.0,187.0,715.0,0.0,176.0
149,800,8946.0,0.0,-296.0,202.0,185.0,724.0,0.0,202.0
