t,mn_production_max,mn_inventory,mn_backlog,mn_production,mn_allocation,dr_shipment_received,dr_inventory,dr_backlog,dr_orders_from_hc
0,800,0.0,900.0,800.0,0.0,0.0,500.0,0.0,586.0
1,800,0.0,900.0,500.0,0.0,0.0,0.0,0.0,187.0
2,800,800.0,1267.0,800.0,533.0,0.0,0.0,900.0,286.0
3,800,767.0,884.0,484.0,383.0,0.0,0.0,900.0,370.0
4,800,1184.0,815.0,731.0,757.0,533.0,533.0,1267.0,486.0
5,800,911.0,0.0,-331.0,815.0,383.0,595.0,884.0,414.0
6,800,827.0,0.0,731.0,462.0,757.0,1008.0,815.0,353.0
7,800,34.0,346.0,15.0,34.0,815.0,1253.0,0.0,248.0
8,800,731.0,0.0,385.0,346.0,462.0,520.0,0.0,0.0
9,800,400.0,0.0,15.0,346.0,34.0,554.0,346.0,0.0
10,800,439.0,0.0,385.0,0.0,346.0,900.0,0.0,0.0
11,800,454.0,0.0,15.0,0.0,346.0,1246.0,0.0,0.0
12,800,839.0,0.0,385.0,0.0,0.0,1246.0,0.0,0.0
13,800,854.0,0.0,15.0,0.0,0.0,1246.0,0.0,25.0
14,800,1239.0,0.0,385.0,0.0,0.0,1221.0,0.0,217.0
15,40,1254.0,0.0,15.0,93.0,0.0,1004.0,0.0,197.0
16,40,1546.0,0.0,40.0,201.0,0.0,807.0,0.0,201.0
17,40,1360.0,0.0,40.0,204.0,93.0,699.0,0.0,204.0
18,40,1196.0,0.0,40.0,209.0,201.0,696.0,0.0,209.0
19,40,1027.0,0.0,40.0,198.0,204.0,691.0,0.0,198.0
20,40,869.0,0.0,40.0,204.0,209.0,702.0,0.0,204.0
21,40,705.0,0.0,40.0,202.0,198.0,696.0,0.0,202.0
22,40,543.0,0.0,40.0,187.0,204.0,698.0,0.0,187.0
23,40,396.0,0.0,40.0,191.0,202.0,713.0,0.0,191.0
24,40,245.0,0.0,40.0,203.0,187.0,709.0,0.0,203.0
25,40,82.0,104.0,40.0,82.0,191.0,697.0,0.0,186.0
26,40,40.0,266.0,40.0,29.0,203.0,714.0,0.0,191.0
27,40,51.0,524.0,40.0,34.0,82.0,605.0,104.0,188.0
28,40,57.0,853.0,40.0,35.0,29.0,446.0,266.0,202.0
29,40,62.0,1269.0,40.0,37.0,34.0,278.0,524.0,195.0
30,40,65.0,1679.0,40.0,37.0,35.0,118.0,853.0,201.0
31,40,68.0,2086.0,40.0,37.0,37.0,37.0,1269.0,181.0
32,40,71.0,2489.0,40.0,38.0,37.0,46.0,1679.0,277.0
33,40,73.0,2889.0,40.0,39.0,37.0,52.0,2086.0,340.0
34,40,74.0,3288.0,40.0,39.0,38.0,58.0,2489.0,436.0
35,40,75.0,3685.0,40.0,39.0,39.0,62.0,2889.0,464.0
36,40,76.0,4080.0,40.0,40.0,39.0,65.0,3288.0,436.0
37,40,76.0,4475.0,40.0,39.0,39.0,68.0,3685.0,464.0
38,40,77.0,4868.0,40.0,40.0,40.0,71.0,4080.0,436.0
39,40,77.0,5261.0,40.0,40.0,39.0,72.0,4475.0,464.0
