t,mn_production_max,mn_inventory,mn_backlog,mn_production,mn_allocation,dr_shipment_received,dr_inventory,dr_backlog,dr_orders_from_hc
0,800,0.0,900.0,800.0,0.0,0.0,500.0,0.0,616.0
1,800,0.0,900.0,500.0,0.0,0.0,0.0,0.0,211.0
2,800,800.0,1267.0,800.0,533.0,0.0,0.0,900.0,336.0
3,800,767.0,884.0,484.0,383.0,0.0,0.0,900.0,415.0
4,800,1184.0,810.0,726.0,756.0,533.0,533.0,1267.0,485.0
5,800,912.0,0.0,-326.0,810.0,383.0,601.0,884.0,415.0
6,800,828.0,0.0,726.0,454.0,756.0,1014.0,810.0,365.0
7,800,48.0,0.0,-326.0,0.0,810.0,1256.0,0.0,257.0
8,800,774.0,0.0,726.0,564.0,454.0,1018.0,0.0,0.0
9,800,-116.0,0.0,-326.0,0.0,0.0,336.0,0.0,0.0
10,800,610.0,0.0,726.0,0.0,564.0,900.0,0.0,0.0
11,800,284.0,0.0,-326.0,0.0,0.0,900.0,0.0,0.0
12,800,1010.0,0.0,726.0,0.0,0.0,900.0,0.0,0.0
13,800,684.0,0.0,-326.0,0.0,0.0,900.0,0.0,0.0
14,800,1410.0,0.0,726.0,112.0,0.0,900.0,0.0,112.0
15,40,972.0,0.0,-326.0,214.0,0.0,788.0,0.0,214.0
16,800,1484.0,0.0,726.0,205.0,112.0,686.0,0.0,205.0
17,800,953.0,0.0,-326.0,206.0,214.0,695.0,0.0,206.0
18,800,1473.0,0.0,726.0,198.0,205.0,694.0,0.0,198.0
19,800,949.0,0.0,-326.0,201.0,206.0,702.0,0.0,201.0
20,800,1474.0,0.0,726.0,198.0,198.0,699.0,0.0,198.0
21,800,950.0,0.0,-326.0,182.0,201.0,702.0,0.0,182.0
22,800,1494.0,0.0,726.0,221.0,198.0,718.0,0.0,221.0
23,800,947.0,0.0,-326.0,196.0,182.0,679.0,0.0,196.0
24,800,1477.0,0.0,726.0,194.0,221.0,704.0,0.0,194.0
25,800,957.0,0.0,-326.0,187.0,196.0,706.0,0.0,187.0
26,800,1496.0,0.0,726.0,190.0,194.0,713.0,0.0,190.0
27,800,980.0,0.0,-326.0,188.0,187.0,710.0,0.0,188.0
28,800,1518.0,0.0,726.0,211.0,190.0,712.0,0.0,211.0
29,800,981.0,0.0,-326.0,201.0,188.0,689.0,0.0,201.0
