t,mn_production_max,mn_inventory,mn_backlog,mn_production,mn_allocation,dr_shipment_received,dr_inventory,dr_backlog,dr_orders_from_hc
0,800,0.0,900.0,800.0,0.0,0.0,500.0,0.0,599.0
1,800,0.0,900.0,500.0,0.0,0.0,0.0,0.0,212.0
2,800,800.0,1267.0,800.0,533.0,0.0,0.0,900.0,305.0
3,800,767.0,884.0,484.0,383.0,0.0,0.0,900.0,404.0
4,800,1184.0,812.0,728.0,757.0,533.0,533.0,1267.0,496.0
5,800,911.0,0.0,-328.0,812.0,383.0,598.0,884.0,404.0
6,800,827.0,0.0,728.0,459.0,757.0,1013.0,812.0,377.0
7,800,40.0,0.0,-328.0,0.0,812.0,1253.0,0.0,256.0
8,800,768.0,0.0,728.0,515.0,459.0,1019.0,0.0,6.0
9,800,-75.0,0.0,-328.0,0.0,0.0,385.0,0.0,0.0
10,800,653.0,0.0,728.0,0.0,515.0,900.0,0.0,0.0
11,800,325.0,0.0,-328.0,0.0,0.0,900.0,0.0,0.0
12,800,1053.0,0.0,728.0,0.0,0.0,900.0,0.0,0.0
13,800,725.0,0.0,-328.0,0.0,0.0,900.0,0.0,0.0
14,800,1453.0,0.0,728.0,131.0,0.0,900.0,0.0,131.0
15,40,994.0,0.0,-328.0,179.0,0.0,769.0,0.0,179.0
16,40,1543.0,0.0,40.0,217.0,131.0,721.0,0.0,217.0
17,40,998.0,0.0,40.0,204.0,179.0,683.0,0.0,204.0
18,40,834.0,0.0,40.0,220.0,217.0,696.0,0.0,220.0
19,40,654.0,0.0,40.0,213.0,204.0,680.0,0.0,213.0
20,40,481.0,0.0,40.0,204.0,220.0,687.0,0.0,204.0
21,40,317.0,0.0,40.0,203.0,213.0,696.0,0.0,203.0
22,40,154.0,39.0,40.0,154.0,204.0,697.0,0.0,193.0
23,40,40.0,213.0,40.0,34.0,203.0,707.0,0.0,208.0
24,40,46.0,410.0,40.0,31.0,154.0,653.0,39.0,189.0
25,40,55.0,750.0,40.0,36.0,34.0,498.0,213.0,202.0
26,40,59.0,1106.0,40.0,35.0,31.0,327.0,410.0,194.0
27,40,64.0,1578.0,40.0,37.0,36.0,169.0,750.0,200.0
28,40,67.0,1927.0,40.0,37.0,35.0,35.0,1106.0,194.0
29,40,70.0,2388.0,40.0,39.0,37.0,42.0,1578.0,239.0
30,40,71.0,2732.0,40.0,38.0,37.0,51.0,1927.0,362.0
31,40,73.0,3188.0,40.0,39.0,39.0,57.0,2388.0,406.0
32,40,74.0,3529.0,40.0,39.0,38.0,61.0,2732.0,494.0
33,40,75.0,3981.0,40.0,39.0,39.0,64.0,3188.0,406.0
34,40,76.0,4320.0,40.0,39.0,39.0,68.0,3529.0,494.0
35,40,77.0,4769.0,40.0,40.0,39.0,70.0,3981.0,406.0
36,40,77.0,5107.0,40.0,39.0,39.0,72.0,4320.0,494.0
37,40,78.0,5555.0,40.0,40.0,40.0,74.0,4769.0,406.0
38,40,78.0,5892.0,40.0,40.0,39.0,74.0,5107.0,494.0
39,800,78.0,6339.0,800.0,40.0,40.0,75.0,5555.0,406.0
40,800,78.0,6676.0,800.0,40.0,40.0,76.0,5892.0,494.0
41,800,838.0,6729.0,800.0,433.0,40.0,76.0,6339.0,406.0
42,800,1205.0,6488.0,800.0,618.0,40.0,77.0,6676.0,494.0
43,800,1387.0,6076.0,800.0,708.0,433.0,470.0,6729.0,406.0
44,800,1479.0,5523.0,800.0,751.0,618.0,845.0,6488.0,494.0
45,800,1528.0,4910.0,800.0,774.0,708.0,1114.0,6076.0,360.0
46,800,1554.0,4231.0,800.0,785.0,751.0,1292.0,5523.0,245.0
47,800,1569.0,3529.0,800.0,792.0,774.0,1407.0,4910.0,0.0
48,800,1577.0,2799.0,800.0,795.0,785.0,1489.0,4231.0,0.0
49,800,1582.0,2065.0,800.0,800.0,792.0,1537.0,3529.0,0.0
50,800,1582.0,1317.0,800.0,800.0,795.0,1564.0,2799.0,0.0
51,800,1582.0,0.0,-400.0,1374.0,800.0,1582.0,2065.0,0.0
52,800,1008.0,0.0,800.0,737.0,800.0,1591.0,1317.0,0.0
53,800,-129.0,0.0,-400.0,0.0,1374.0,1480.0,0.0,0.0
54,800,671.0,0.0,800.0,0.0,737.0,2217.0,0.0,0.0
55,800,271.0,0.0,-400.0,0.0,0.0,2217.0,0.0,0.0
56,800,1071.0,0.0,800.0,0.0,0.0,2217.0,0.0,0.0
57,800,671.0,0.0,-400.0,0.0,0.0,2217.0,0.0,0.0
58,800,1471.0,0.0,800.0,0.0,0.0,2217.0,0.0,0.0
59,800,1071.0,0.0,-400.0,0.0,0.0,2217.0,0.0,0.0
60,800,1871.0,0.0,800.0,0.0,0.0,2217.0,0.0,0.0
61,800,1471.0,0.0,-400.0,0.0,0.0,2217.0,0.0,0.0
62,800,2271.0,0.0,800.0,0.0,0.0,2217.0,0.0,0.0
63,800,1871.0,0.0,-400.0,0.0,0.0,2217.0,0.0,0.0
64,800,2671.0,0.0,800.0,0.0,0.0,2217.0,0.0,0.0
65,800,2271.0,0.0,-400.0,0.0,0.0,2217.0,0.0,0.0
66,800,3071.0,0.0,800.0,0.0,0.0,2217.0,0.0,0.0
67,800,2671.0,0.0,-400.0,0.0,0.0,2217.0,0.0,0.0
68,800,3471.0,0.0,800.0,0.0,0.0,2217.0,0.0,0.0
69,800,3071.0,0.0,-400.0,0.0,0.0,2217.0,0.0,0.0
70,800,3871.0,0.0,800.0,0.0,0.0,2217.0,0.0,0.0
71,800,3471.0,0.0,-400.0,0.0,0.0,2217.0,0.0,0.0
72,800,4271.0,0.0,800.0,0.0,0.0,2217.0,0.0,0.0
73,800,3871.0,0.0,-400.0,0.0,0.0,2217.0,0.0,0.0
74,800,4671.0,0.0,800.0,0.0,0.0,2217.0,0.0,0.0
75,800,4271.0,0.0,-400.0,0.0,0.0,2217.0,0.0,0.0
76,800,5071.0,0.0,800.0,0.0,0.0,2217.0,0.0,86.0
77,800,4671.0,0.0,-400.0,0.0,0.0,2131.0,0.0,191.0
78,800,5471.0,0.0,800.0,0.0,0.0,1940.0,0.0,186.0
79,800,5071.0,0.0,-400.0,0.0,0.0,1754.0,0.0,207.0
80,800,5871.0,0.0,800.0,0.0,0.0,1547.0,0.0,203.0
81,800,5471.0,0.0,-400.0,0.0,0.0,1344.0,0.0,199.0
82,800,6271.0,0.0,800.0,0.0,0.0,1145.0,0.0,179.0
83,800,5871.0,0.0,-400.0,140.0,0.0,966.0,0.0,206.0
84,800,6531.0,0.0,800.0,221.0,0.0,760.0,0.0,221.0
85,800,5910.0,0.0,-400.0,209.0,140.0,679.0,0.0,209.0
86,800,6501.0,0.0,800.0,191.0,221.0,691.0,0.0,191.0
87,800,5910.0,0.0,-400.0,197.0,209.0,709.0,0.0,197.0
