t,mn_production_max,mn_inventory,mn_backlog,mn_production,mn_allocation,dr_shipment_received,dr_inventory,dr_backlog,dr_orders_from_hc
0,800,0.0,900.0,800.0,0.0,0.0,500.0,0.0,603.0
1,800,0.0,900.0,500.0,0.0,0.0,0.0,0.0,193.0
2,800,800.0,1267.0,800.0,533.0,0.0,0.0,900.0,280.0
3,800,767.0,884.0,484.0,383.0,0.0,0.0,900.0,398.0
4,800,1184.0,814.0,730.0,757.0,533.0,533.0,1267.0,496.0
5,800,911.0,0.0,-330.0,814.0,383.0,596.0,884.0,404.0
6,800,827.0,0.0,730.0,460.0,757.0,1011.0,814.0,367.0
7,800,37.0,0.0,-330.0,0.0,814.0,1254.0,0.0,267.0
8,800,767.0,0.0,730.0,461.0,460.0,1014.0,0.0,0.0
9,800,-24.0,0.0,-330.0,0.0,0.0,439.0,0.0,0.0
10,800,706.0,0.0,730.0,0.0,461.0,900.0,0.0,0.0
11,800,376.0,0.0,-330.0,0.0,0.0,900.0,0.0,0.0
12,800,1106.0,0.0,730.0,0.0,0.0,900.0,0.0,0.0
13,800,776.0,0.0,-330.0,0.0,0.0,900.0,0.0,0.0
14,800,1506.0,0.0,730.0,180.0,0.0,900.0,0.0,180.0
15,40,996.0,0.0,-330.0,187.0,0.0,720.0,0.0,187.0
16,40,1539.0,0.0,40.0,213.0,180.0,713.0,0.0,213.0
17,40,996.0,0.0,40.0,204.0,187.0,687.0,0.0,204.0
18,40,832.0,0.0,40.0,215.0,213.0,696.0,0.0,215.0
19,40,657.0,0.0,40.0,213.0,204.0,685.0,0.0,213.0
20,40,484.0,0.0,40.0,189.0,215.0,687.0,0.0,189.0
21,40,335.0,0.0,40.0,195.0,213.0,711.0,0.0,195.0
22,40,180.0,13.0,40.0,180.0,189.0,705.0,0.0,193.0
23,40,40.0,190.0,40.0,37.0,195.0,707.0,0.0,214.0
24,40,43.0,362.0,40.0,28.0,180.0,673.0,13.0,187.0
25,40,55.0,713.0,40.0,37.0,37.0,523.0,190.0,211.0
26,40,58.0,1067.0,40.0,35.0,28.0,340.0,362.0,217.0
27,40,63.0,1541.0,40.0,37.0,37.0,160.0,713.0,194.0
28,40,66.0,1889.0,40.0,36.0,35.0,35.0,1067.0,193.0
29,40,70.0,2352.0,40.0,39.0,37.0,42.0,1541.0,241.0
30,40,71.0,2694.0,40.0,38.0,36.0,50.0,1889.0,371.0
31,40,73.0,3152.0,40.0,39.0,39.0,57.0,2352.0,416.0
32,40,74.0,3490.0,40.0,39.0,38.0,61.0,2694.0,484.0
33,40,75.0,3945.0,40.0,39.0,39.0,65.0,3152.0,416.0
34,40,76.0,4281.0,40.0,39.0,39.0,68.0,3490.0,484.0
35,40,77.0,4733.0,40.0,40.0,39.0,70.0,3945.0,416.0
36,40,77.0,5068.0,40.0,39.0,39.0,72.0,4281.0,484.0
37,40,78.0,5519.0,40.0,40.0,40.0,74.0,4733.0,416.0
38,40,78.0,5853.0,40.0,40.0,39.0,74.0,5068.0,484.0
39,40,78.0,6303.0,40.0,40.0,40.0,75.0,5519.0,416.0
40,40,78.0,6636.0,40.0,40.0,40.0,76.0,5853.0,484.0
41,40,78.0,7086.0,40.0,40.0,40.0,77.0,6303.0,416.0
42,40,78.0,7419.0,40.0,40.0,40.0,77.0,6636.0,484.0
43,40,78.0,7868.0,40.0,40.0,40.0,77.0,7086.0,416.0
44,800,78.0,8202.0,800.0,39.0,40.0,78.0,7419.0,484.0
45,800,79.0,8651.0,800.0,40.0,40.0,78.0,7868.0,416.0
46,800,839.0,8596.0,800.0,428.0,39.0,77.0,8202.0,484.0
47,800,1211.0,8463.0,800.0,622.0,40.0,78.0,8651.0,416.0
48,800,1389.0,7946.0,800.0,702.0,428.0,466.0,8596.0,484.0
49,800,1487.0,7490.0,800.0,757.0,622.0,848.0,8463.0,416.0
50,800,1530.0,6779.0,800.0,767.0,702.0,1116.0,7946.0,441.0
51,800,1563.0,6188.0,800.0,792.0,757.0,1300.0,7490.0,186.0
52,800,1571.0,5403.0,800.0,785.0,767.0,1410.0,6779.0,75.0
53,800,1586.0,4752.0,800.0,804.0,792.0,1494.0,6188.0,0.0
54,800,1582.0,3961.0,800.0,791.0,785.0,1532.0,5403.0,0.0
55,800,1591.0,3270.0,800.0,806.0,804.0,1570.0,4752.0,0.0
56,800,1585.0,2478.0,800.0,792.0,791.0,1576.0,3961.0,0.0
57,800,1593.0,1769.0,800.0,812.0,806.0,1594.0,3270.0,0.0
58,800,1581.0,981.0,581.0,790.0,792.0,1589.0,2478.0,0.0
59,800,1591.0,0.0,-181.0,1075.0,812.0,1607.0,1769.0,0.0
60,800,1097.0,0.0,581.0,436.0,790.0,1594.0,981.0,0.0
61,800,480.0,0.0,-181.0,0.0,1075.0,1445.0,0.0,0.0
62,800,1061.0,0.0,581.0,0.0,436.0,1881.0,0.0,0.0
63,800,880.0,0.0,-181.0,0.0,0.0,1881.0,0.0,0.0
64,800,1461.0,0.0,581.0,0.0,0.0,1881.0,0.0,0.0
65,800,1280.0,0.0,-181.0,0.0,0.0,1881.0,0.0,0.0
66,800,1861.0,0.0,581.0,0.0,0.0,1881.0,0.0,0.0
67,800,1680.0,0.0,-181.0,0.0,0.0,1881.0,0.0,0.0
68,800,2261.0,0.0,581.0,0.0,0.0,1881.0,0.0,0.0
69,800,2080.0,0.0,-181.0,0.0,0.0,1881.0,0.0,0.0
70,800,2661.0,0.0,581.0,0.0,0.0,1881.0,0.0,0.0
71,800,2480.0,0.0,-181.0,0.0,0.0,1881.0,0.0,0.0
72,800,3061.0,0.0,581.0,0.0,0.0,1881.0,0.0,0.0
73,800,2880.0,0.0,-181.0,0.0,0.0,1881.0,0.0,0.0
74,800,3461.0,0.0,581.0,0.0,0.0,1881.0,0.0,0.0
75,800,3280.0,0.0,-181.0,0.0,0.0,1881.0,0.0,0.0
76,800,3861.0,0.0,581.0,0.0,0.0,1881.0,0.0,0.0
77,800,3680.0,0.0,-181.0,0.0,0.0,1881.0,0.0,0.0
78,800,4261.0,0.0,581.0,0.0,0.0,1881.0,0.0,0.0
79,800,4080.0,0.0,-181.0,0.0,0.0,1881.0,0.0,0.0
80,800,4661.0,0.0,581.0,0.0,0.0,1881.0,0.0,0.0
81,800,4480.0,0.0,-181.0,0.0,0.0,1881.0,0.0,0.0
82,800,5061.0,0.0,581.0,0.0,0.0,1881.0,0.0,0.0
83,800,4880.0,0.0,-181.0,0.0,0.0,1881.0,0.0,0.0
84,800,5461.0,0.0,581.0,0.0,0.0,1881.0,0.0,0.0
85,800,5280.0,0.0,-181.0,0.0,0.0,1881.0,0.0,0.0
86,800,5861.0,0.0,581.0,0.0,0.0,1881.0,0.0,0.0
87,800,5680.0,0.0,-181.0,0.0,0.0,1881.0,0.0,0.0
88,800,6261.0,0.0,581.0,0.0,0.0,1881.0,0.0,0.0
89,800,6080.0,0.0,-181.0,0.0,0.0,1881.0,0.0,0.0
90,800,6661.0,0.0,581.0,0.0,0.0,1881.0,0.0,0.0
91,800,6480.0,0.0,-181.0,0.0,0.0,1881.0,0.0,0.0
92,800,7061.0,0.0,581.0,0.0,0.0,1881.0,0.0,192.0
93,800,6880.0,0.0,-181.0,0.0,0.0,1689.0,0.0,218.0
94,800,7461.0,0.0,581.0,0.0,0.0,1471.0,0.0,191.0
95,800,7280.0,0.0,-181.0,0.0,0.0,1280.0,0.0,197.0
96,800,7861.0,0.0,581.0,34.0,0.0,1083.0,0.0,217.0
97,800,7646.0,0.0,-181.0,206.0,0.0,866.0,0.0,206.0
98,800,8021.0,0.0,581.0,195.0,34.0,694.0,0.0,195.0
99,800,7645.0,0.0,-181.0,205.0,206.0,705.0,0.0,205.0
100,800,8021.0,0.0,581.0,207.0,195.0,695.0,0.0,207.0
101,800,7633.0,0.0,-181.0,182.0,205.0,693.0,0.0,182.0
102,800,8032.0,0.0,581.0,185.0,207.0,718.0,0.0,185.0
103,800,7666.0,0.0,-181.0,214.0,182.0,715.0,0.0,214.0
104,800,8033.0,0.0,581.0,183.0,185.0,686.0,0.0,183.0
105,800,7669.0,0.0,-181.0,207.0,214.0,717.0,0.0,207.0
106,800,8043.0,0.0,581.0,209.0,183.0,693.0,0.0,209.0
107,800,7653.0,0.0,-181.0,209.0,207.0,691.0,0.0,209.0
108,800,8025.0,0.0,581.0,187.0,209.0,691.0,0.0,187.0
109,800,7657.0,0.0,-181.0,189.0,209.0,713.0,0.0,189.0
110,800,8049.0,0.0,581.0,206.0,187.0,711.0,0.0,206.0
111,800,7662.0,0.0,-181.0,203.0,189.0,694.0,0.0,203.0
112,800,8040.0,0.0,581.0,204.0,206.0,697.0,0.0,204.0
113,800,7655.0,0.0,-181.0,184.0,203.0,696.0,0.0,184.0
114,800,8052.0,0.0,581.0,200.0,204.0,716.0,0.0,200.0
115,800,7671.0,0.0,-181.0,195.0,184.0,700.0,0.0,195.0
116,800,8057.0,0.0,581.0,197.0,200.0,705.0,0.0,197.0
117,800,7679.0,0.0,-181.0,205.0,195.0,703.0,0.0,205.0
118,800,8055.0,0.0,581.0,187.0,197.0,695.0,0.0,187.0
119,800,7687.0,0.0,-181.0,220.0,205.0,713.0,0.0,220.0
120,800,8048.0,0.0,581.0,183.0,187.0,680.0,0.0,183.0
121,800,7684.0,0.0,-181.0,220.0,220.0,717.0,0.0,220.0
122,800,8045.0,0.0,581.0,193.0,183.0,680.0,0.0,193.0
123,800,7671.0,0.0,-181.0,188.0,220.0,707.0,0.0,188.0
124,800,8064.0,0.0,581.0,201.0,193.0,712.0,0.0,201.0
125,800,7682.0,0.0,-181.0,199.0,188.0,699.0,0.0,199.0
126,800,8064.0,0.0,581.0,202.0,201.0,701.0,0.0,202.0
127,800,7681.0,0.0,-181.0,195.0,199.0,698.0,0.0,195.0
128,800,8067.0,0.0,581.0,199.0,202.0,705.0,0.0,199.0
129,800,7687.0,0.0,-181.0,222.0,195.0,701.0,0.0,222.0
130,800,8046.0,0.0,581.0,208.0,199.0,678.0,0.0,208.0
131,800,7657.0,0.0,-181.0,214.0,222.0,692.0,0.0,214.0
132,800,8024.0,0.0,581.0,186.0,208.0,686.0,0.0,186.0
133,800,7657.0,0.0,-181.0,186.0,214.0,714.0,0.0,186.0
134,800,8052.0,0.0,581.0,207.0,186.0,714.0,0.0,207.0
135,800,7664.0,0.0,-181.0,183.0,186.0,693.0,0.0,183.0
136,800,8062.0,0.0,581.0,190.0,207.0,717.0,0.0,190.0
137,800,7691.0,0.0,-181.0,194.0,183.0,710.0,0.0,194.0
138,800,8078.0,0.0,581.0,208.0,190.0,706.0,0.0,208.0
139,800,7689.0,0.0,-181.0,189.0,194.0,692.0,0.0,189.0
140,800,8081.0,0.0,581.0,195.0,208.0,711.0,0.0,195.0
141,800,7705.0,0.0,-181.0,185.0,189.0,705.0,0.0,185.0
142,800,8101.0,0.0,581.0,209.0,195.0,715.0,0.0,209.0
143,800,7711.0,0.0,-181.0,205.0,185.0,691.0,0.0,205.0
144,800,8087.0,0.0,581.0,207.0,209.0,695.0,0.0,207.0
145,800,7699.0,0.0,-181.0,198.0,205.0,693.0,0.0,198.0
146,800,8082.0,0.0,581.0,216.0,207.0,702.0,0.0,216.0
147,800,7685.0,0.0,-181.0,195.0,198.0,684.0,0.0,195.0
148,800,8071.0,0.0,581.0,209.0,216.0,705.0,0.0,209.0
149,800,7681.0,0.0,-181.0,210.0,195.0,691.0,0.0,210.0
