t,mn_production_max,mn_inventory,mn_backlog,mn_production,mn_allocation,dr_shipment_received,dr_inventory,dr_backlog,dr_orders_from_hc
0,800,0.0,900.0,800.0,0.0,0.0,500.0,0.0,616.0
1,800,0.0,900.0,500.0,0.0,0.0,0.0,0.0,209.0
2,800,800.0,1267.0,800.0,533.0,0.0,0.0,900.0,326.0
3,800,767.0,884.0,484.0,383.0,0.0,0.0,900.0,399.0
4,800,1184.0,811.0,727.0,757.0,533.0,533.0,1267.0,501.0
5,800,911.0,0.0,-327.0,811.0,383.0,599.0,884.0,399.0
6,800,827.0,0.0,727.0,457.0,757.0,1015.0,811.0,378.0
7,800,43.0,0.0,-327.0,0.0,811.0,1254.0,0.0,248.0
8,800,770.0,0.0,727.0,539.0,457.0,1021.0,0.0,4.0
9,800,-96.0,0.0,-327.0,0.0,0.0,361.0,0.0,0.0
10,800,631.0,0.0,727.0,0.0,539.0,900.0,0.0,0.0
11,800,304.0,0.0,-327.0,0.0,0.0,900.0,0.0,0.0
12,800,1031.0,0.0,727.0,0.0,0.0,900.0,0.0,0.0
13,800,704.0,0.0,-327.0,0.0,0.0,900.0,0.0,0.0
14,800,1431.0,0.0,727.0,64.0,0.0,900.0,0.0,64.0
15,40,1040.0,0.0,-327.0,210.0,0.0,836.0,0.0,210.0
16,40,1557.0,0.0,40.0,182.0,64.0,690.0,0.0,182.0
17,40,1048.0,0.0,40.0,201.0,210.0,718.0,0.0,201.0
18,40,887.0,0.0,40.0,195.0,182.0,699.0,0.0,195.0
19,40,732.0,0.0,40.0,200.0,201.0,705.0,0.0,200.0
20,40,572.0,0.0,40.0,214.0,195.0,700.0,0.0,214.0
21,40,398.0,0.0,40.0,205.0,200.0,686.0,0.0,205.0
22,40,233.0,0.0,40.0,192.0,214.0,695.0,0.0,192.0
23,40,81.0,112.0,40.0,81.0,205.0,708.0,0.0,193.0
24,40,40.0,291.0,40.0,29.0,192.0,707.0,0.0,208.0
25,40,51.0,570.0,40.0,34.0,81.0,580.0,112.0,201.0
26,40,57.0,888.0,40.0,35.0,29.0,408.0,291.0,174.0
27,40,62.0,1334.0,40.0,37.0,34.0,268.0,570.0,204.0
28,800,65.0,1715.0,800.0,36.0,35.0,99.0,888.0,207.0
29,800,69.0,2150.0,800.0,38.0,37.0,37.0,1334.0,200.0
30,800,831.0,2111.0,800.0,451.0,36.0,46.0,1715.0,305.0
31,800,1180.0,1931.0,800.0,648.0,38.0,53.0,2150.0,376.0
32,800,1332.0,1472.0,800.0,705.0,451.0,471.0,2111.0,483.0
33,800,1427.0,995.0,595.0,780.0,648.0,834.0,1931.0,417.0
34,800,1447.0,0.0,-195.0,1148.0,705.0,1056.0,1472.0,392.0
35,800,894.0,0.0,595.0,464.0,780.0,1224.0,995.0,131.0
36,800,235.0,0.0,-195.0,0.0,1148.0,1431.0,0.0,0.0
37,800,830.0,0.0,595.0,0.0,464.0,1895.0,0.0,0.0
38,800,635.0,0.0,-195.0,0.0,0.0,1895.0,0.0,0.0
39,800,1230.0,0.0,595.0,0.0,0.0,1895.0,0.0,0.0
40,800,1035.0,0.0,-195.0,0.0,0.0,1895.0,0.0,0.0
41,800,1630.0,0.0,595.0,0.0,0.0,1895.0,0.0,157.0
42,800,1435.0,0.0,-195.0,0.0,0.0,1738.0,0.0,208.0
43,800,2030.0,0.0,595.0,0.0,0.0,1530.0,0.0,194.0
44,800,1835.0,0.0,-195.0,0.0,0.0,1336.0,0.0,215.0
45,800,2430.0,0.0,595.0,0.0,0.0,1121.0,0.0,207.0
46,800,2235.0,0.0,-195.0,196.0,0.0,914.0,0.0,210.0
47,800,2634.0,0.0,595.0,198.0,0.0,704.0,0.0,198.0
48,800,2241.0,0.0,-195.0,189.0,196.0,702.0,0.0,189.0
49,800,2647.0,0.0,595.0,211.0,198.0,711.0,0.0,211.0
50,800,2241.0,0.0,-195.0,213.0,189.0,689.0,0.0,213.0
51,800,2623.0,0.0,595.0,192.0,211.0,687.0,0.0,192.0
52,800,2236.0,0.0,-195.0,187.0,213.0,708.0,0.0,187.0
53,800,2644.0,0.0,595.0,205.0,192.0,713.0,0.0,205.0
54,800,2244.0,0.0,-195.0,199.0,187.0,695.0,0.0,199.0
55,800,2640.0,0.0,595.0,202.0,205.0,701.0,0.0,202.0
56,800,2243.0,0.0,-195.0,190.0,199.0,698.0,0.0,190.0
57,800,2648.0,0.0,595.0,210.0,202.0,710.0,0.0,210.0
58,800,2243.0,0.0,-195.0,187.0,190.0,690.0,0.0,187.0
59,800,2651.0,0.0,595.0,214.0,210.0,713.0,0.0,214.0
60,800,2242.0,0.0,-195.0,197.0,187.0,686.0,0.0,197.0
61,800,2640.0,0.0,595.0,199.0,214.0,703.0,0.0,199.0
62,800,2246.0,0.0,-195.0,198.0,197.0,701.0,0.0,198.0
63,800,2643.0,0.0,595.0,178.0,199.0,702.0,0.0,178.0
64,800,2270.0,0.0,-195.0,184.0,198.0,722.0,0.0,184.0
65,800,2681.0,0.0,595.0,187.0,178.0,716.0,0.0,187.0
66,800,2299.0,0.0,-195.0,194.0,184.0,713.0,0.0,194.0
67,800,2700.0,0.0,595.0,199.0,187.0,706.0,0.0,199.0
68,800,2306.0,0.0,-195.0,195.0,194.0,701.0,0.0,195.0
69,800,2706.0,0.0,595.0,196.0,199.0,705.0,0.0,196.0
70,800,2315.0,0.0,-195.0,206.0,195.0,704.0,0.0,206.0
71,800,2704.0,0.0,595.0,210.0,196.0,694.0,0.0,210.0
72,800,2299.0,0.0,-195.0,200.0,206.0,690.0,0.0,200.0
73,800,2694.0,0.0,595.0,188.0,210.0,700.0,0.0,188.0
74,800,2311.0,0.0,-195.0,192.0,200.0,712.0,0.0,192.0
75,800,2714.0,0.0,595.0,210.0,188.0,708.0,0.0,210.0
76,800,2309.0,0.0,-195.0,182.0,192.0,690.0,0.0,182.0
77,800,2722.0,0.0,595.0,186.0,210.0,718.0,0.0,186.0
78,800,2341.0,0.0,-195.0,200.0,182.0,714.0,0.0,200.0
79,800,2736.0,0.0,595.0,204.0,186.0,700.0,0.0,204.0
