t,mn_production_max,mn_inventory,mn_backlog,mn_production,mn_allocation,dr_shipment_received,dr_inventory,dr_backlog,dr_orders_from_hc
0,800,0.0,900.0,800.0,0.0,0.0,500.0,0.0,606.0
1,800,0.0,900.0,500.0,0.0,0.0,0.0,0.0,190.0
2,800,800.0,1267.0,800.0,533.0,0.0,0.0,900.0,322.0
3,800,767.0,884.0,484.0,383.0,0.0,0.0,900.0,371.0
4,800,1184.0,815.0,731.0,757.0,533.0,533.0,1267.0,513.0
5,800,911.0,0.0,-331.0,815.0,383.0,595.0,884.0,387.0
6,800,827.0,0.0,731.0,466.0,757.0,1013.0,815.0,411.0
7,800,30.0,0.0,-331.0,0.0,815.0,1249.0,0.0,260.0
8,800,761.0,0.0,731.0,552.0,466.0,1023.0,0.0,46.0
9,800,-122.0,0.0,-331.0,0.0,0.0,348.0,0.0,0.0
10,800,609.0,0.0,731.0,0.0,552.0,900.0,0.0,0.0
11,800,278.0,0.0,-331.0,0.0,0.0,900.0,0.0,0.0
12,800,1009.0,0.0,731.0,0.0,0.0,900.0,0.0,0.0
13,800,678.0,0.0,-331.0,0.0,0.0,900.0,0.0,0.0
14,800,1409.0,0.0,731.0,121.0,0.0,900.0,0.0,121.0
15,40,957.0,0.0,-331.0,195.0,0.0,779.0,0.0,195.0
16,40,1493.0,0.0,40.0,203.0,121.0,705.0,0.0,203.0
17,40,959.0,0.0,40.0,202.0,195.0,697.0,0.0,202.0
18,40,797.0,0.0,40.0,198.0,203.0,698.0,0.0,198.0
19,40,639.0,0.0,40.0,180.0,202.0,702.0,0.0,180.0
20,40,499.0,0.0,40.0,205.0,198.0,720.0,0.0,205.0
21,40,334.0,0.0,40.0,203.0,180.0,695.0,0.0,203.0
22,40,171.0,21.0,40.0,171.0,205.0,697.0,0.0,192.0
23,40,40.0,193.0,40.0,36.0,203.0,708.0,0.0,208.0
24,40,44.0,382.0,40.0,29.0,171.0,671.0,21.0,197.0
25,40,55.0,716.0,40.0,36.0,36.0,510.0,193.0,198.0
26,40,59.0,1068.0,40.0,35.0,29.0,341.0,382.0,198.0
27,40,64.0,1543.0,40.0,38.0,36.0,179.0,716.0,184.0
28,40,66.0,1893.0,40.0,36.0,35.0,35.0,1068.0,197.0
29,800,70.0,2355.0,800.0,39.0,38.0,39.0,1543.0,196.0
30,800,71.0,2699.0,800.0,38.0,36.0,49.0,1893.0,345.0
31,800,833.0,2744.0,800.0,451.0,39.0,56.0,2355.0,383.0
32,800,1182.0,2495.0,800.0,629.0,38.0,60.0,2699.0,503.0
33,800,1353.0,2089.0,800.0,716.0,451.0,475.0,2744.0,397.0
34,800,1437.0,1561.0,800.0,755.0,629.0,839.0,2495.0,503.0
35,800,1482.0,963.0,563.0,782.0,716.0,1079.0,2089.0,341.0
36,800,1500.0,0.0,-163.0,1105.0,755.0,1244.0,1561.0,234.0
37,800,958.0,0.0,563.0,343.0,782.0,1356.0,963.0,0.0
38,800,452.0,0.0,-163.0,0.0,1105.0,1520.0,0.0,0.0
39,800,1015.0,0.0,563.0,0.0,343.0,1863.0,0.0,0.0
40,800,852.0,0.0,-163.0,0.0,0.0,1863.0,0.0,0.0
41,800,1415.0,0.0,563.0,0.0,0.0,1863.0,0.0,0.0
42,800,1252.0,0.0,-163.0,0.0,0.0,1863.0,0.0,0.0
43,800,1815.0,0.0,563.0,0.0,0.0,1863.0,0.0,0.0
44,800,1652.0,0.0,-163.0,0.0,0.0,1863.0,0.0,0.0
45,800,2215.0,0.0,563.0,0.0,0.0,1863.0,0.0,165.0
46,800,2052.0,0.0,-163.0,0.0,0.0,1698.0,0.0,191.0
47,800,2615.0,0.0,563.0,0.0,0.0,1507.0,0.0,194.0
48,800,2452.0,0.0,-163.0,0.0,0.0,1313.0,0.0,188.0
49,800,3015.0,0.0,563.0,0.0,0.0,1125.0,0.0,208.0
50,800,2852.0,0.0,-163.0,185.0,0.0,917.0,0.0,202.0
51,800,3230.0,0.0,563.0,195.0,0.0,715.0,0.0,195.0
52,800,2872.0,0.0,-163.0,179.0,185.0,705.0,0.0,179.0
53,800,3256.0,0.0,563.0,212.0,195.0,721.0,0.0,212.0
54,800,2881.0,0.0,-163.0,211.0,179.0,688.0,0.0,211.0
55,800,3233.0,0.0,563.0,201.0,212.0,689.0,0.0,201.0
56,800,2869.0,0.0,-163.0,211.0,211.0,699.0,0.0,211.0
57,800,3221.0,0.0,563.0,178.0,201.0,689.0,0.0,178.0
58,800,2880.0,0.0,-163.0,207.0,211.0,722.0,0.0,207.0
59,800,3236.0,0.0,563.0,192.0,178.0,693.0,0.0,192.0
60,800,2881.0,0.0,-163.0,210.0,207.0,708.0,0.0,210.0
61,800,3234.0,0.0,563.0,213.0,192.0,690.0,0.0,213.0
62,800,2858.0,0.0,-163.0,200.0,210.0,687.0,0.0,200.0
63,800,3221.0,0.0,563.0,212.0,213.0,700.0,0.0,212.0
64,800,2846.0,0.0,-163.0,205.0,200.0,688.0,0.0,205.0
65,800,3204.0,0.0,563.0,215.0,212.0,695.0,0.0,215.0
66,800,2826.0,0.0,-163.0,199.0,205.0,685.0,0.0,199.0
67,800,3190.0,0.0,563.0,191.0,215.0,701.0,0.0,191.0
68,800,2836.0,0.0,-163.0,201.0,199.0,709.0,0.0,201.0
69,800,3198.0,0.0,563.0,197.0,191.0,699.0,0.0,197.0
70,800,2838.0,0.0,-163.0,183.0,201.0,703.0,0.0,183.0
71,800,3218.0,0.0,563.0,196.0,197.0,717.0,0.0,196.0
72,800,2859.0,0.0,-163.0,218.0,183.0,704.0,0.0,218.0
73,800,3204.0,0.0,563.0,201.0,196.0,682.0,0.0,201.0
74,800,2840.0,0.0,-163.0,192.0,218.0,699.0,0.0,192.0
75,800,3211.0,0.0,563.0,204.0,201.0,708.0,0.0,204.0
76,800,2844.0,0.0,-163.0,195.0,192.0,696.0,0.0,195.0
77,800,3212.0,0.0,563.0,191.0,204.0,705.0,0.0,191.0
78,800,2858.0,0.0,-163.0,212.0,195.0,709.0,0.0,212.0
79,800,3209.0,0.0,563.0,215.0,191.0,688.0,0.0,215.0
80,800,2831.0,0.0,-163.0,183.0,212.0,685.0,0.0,183.0
81,800,3211.0,0.0,563.0,210.0,215.0,717.0,0.0,210.0
82,800,2838.0,0.0,-163.0,198.0,183.0,690.0,0.0,198.0
83,800,3203.0,0.0,563.0,224.0,210.0,702.0,0.0,224.0
84,800,2816.0,0.0,-163.0,186.0,198.0,676.0,0.0,186.0
85,800,3193.0,0.0,563.0,209.0,224.0,714.0,0.0,209.0
86,800,2821.0,0.0,-163.0,194.0,186.0,691.0,0.0,194.0
87,800,3190.0,0.0,563.0,207.0,209.0,706.0,0.0,207.0
88,800,2820.0,0.0,-163.0,188.0,194.0,693.0,0.0,188.0
89,800,3195.0,0.0,563.0,213.0,207.0,712.0,0.0,213.0
90,800,2819.0,0.0,-163.0,198.0,188.0,687.0,0.0,198.0
91,800,3184.0,0.0,563.0,196.0,213.0,702.0,0.0,196.0
92,800,2825.0,0.0,-163.0,198.0,198.0,704.0,0.0,198.0
93,800,3190.0,0.0,563.0,199.0,196.0,702.0,0.0,199.0
94,800,2828.0,0.0,-163.0,213.0,198.0,701.0,0.0,213.0
95,800,3178.0,0.0,563.0,189.0,199.0,687.0,0.0,189.0
96,800,2826.0,0.0,-163.0,181.0,213.0,711.0,0.0,181.0
97,800,3208.0,0.0,563.0,210.0,189.0,719.0,0.0,210.0
98,800,2835.0,0.0,-163.0,191.0,181.0,690.0,0.0,191.0
99,800,3207.0,0.0,563.0,192.0,210.0,709.0,0.0,192.0
100,800,2852.0,0.0,-163.0,182.0,191.0,708.0,0.0,182.0
101,800,3233.0,0.0,563.0,195.0,192.0,718.0,0.0,195.0
102,800,2875.0,0.0,-163.0,205.0,182.0,705.0,0.0,205.0
103,800,3233.0,0.0,563.0,210.0,195.0,695.0,0.0,210.0
104,800,2860.0,0.0,-163.0,196.0,205.0,690.0,0.0,196.0
105,800,3227.0,0.0,563.0,196.0,210.0,704.0,0.0,196.0
106,800,2868.0,0.0,-163.0,200.0,196.0,704.0,0.0,200.0
107,800,3231.0,0.0,563.0,194.0,196.0,700.0,0.0,194.0
108,800,2874.0,0.0,-163.0,205.0,200.0,706.0,0.0,205.0
109,800,3232.0,0.0,563.0,200.0,194.0,695.0,0.0,200.0
110,800,2869.0,0.0,-163.0,213.0,205.0,700.0,0.0,213.0
111,800,3219.0,0.0,563.0,212.0,200.0,687.0,0.0,212.0
112,800,2844.0,0.0,-163.0,218.0,213.0,688.0,0.0,218.0
113,800,3189.0,0.0,563.0,190.0,212.0,682.0,0.0,190.0
114,800,2836.0,0.0,-163.0,204.0,218.0,710.0,0.0,204.0
115,800,3195.0,0.0,563.0,208.0,190.0,696.0,0.0,208.0
116,800,2824.0,0.0,-163.0,190.0,204.0,692.0,0.0,190.0
117,800,3197.0,0.0,563.0,200.0,208.0,710.0,0.0,200.0
