t,mn_production_max,mn_inventory,mn_backlog,mn_production,mn_allocation,dr_shipment_received,dr_inventory,dr_backlog,dr_orders_from_hc
0,800,0.0,900.0,800.0,0.0,0.0,500.0,0.0,584.0
1,800,0.0,900.0,500.0,0.0,0.0,0.0,0.0,199.0
2,800,800.0,1267.0,800.0,533.0,0.0,0.0,900.0,277.0
3,800,767.0,884.0,484.0,383.0,0.0,0.0,900.0,384.0
4,800,1184.0,815.0,731.0,757.0,533.0,533.0,1267.0,491.0
5,800,911.0,0.0,-331.0,815.0,383.0,595.0,884.0,409.0
6,800,827.0,0.0,731.0,462.0,757.0,1009.0,815.0,362.0
7,800,34.0,398.0,67.0,34.0,815.0,1253.0,0.0,276.0
8,800,731.0,0.0,333.0,398.0,462.0,468.0,0.0,0.0
9,800,400.0,0.0,67.0,398.0,34.0,502.0,398.0,0.0
10,800,335.0,0.0,333.0,0.0,398.0,900.0,0.0,0.0
11,800,402.0,0.0,67.0,0.0,398.0,1298.0,0.0,0.0
12,800,735.0,0.0,333.0,0.0,0.0,1298.0,0.0,0.0
13,800,802.0,0.0,67.0,0.0,0.0,1298.0,0.0,4.0
14,800,1135.0,0.0,333.0,0.0,0.0,1294.0,0.0,190.0
15,40,1202.0,0.0,40.0,11.0,0.0,1104.0,0.0,215.0
16,40,1524.0,0.0,40.0,233.0,0.0,889.0,0.0,233.0
17,40,1331.0,0.0,40.0,209.0,11.0,667.0,0.0,209.0
18,40,1162.0,0.0,40.0,201.0,233.0,691.0,0.0,201.0
19,40,1001.0,0.0,40.0,207.0,209.0,699.0,0.0,207.0
20,40,834.0,0.0,40.0,196.0,201.0,693.0,0.0,196.0
21,40,678.0,0.0,40.0,201.0,207.0,704.0,0.0,201.0
22,40,517.0,0.0,40.0,195.0,196.0,699.0,0.0,195.0
23,40,362.0,0.0,40.0,198.0,201.0,705.0,0.0,198.0
24,800,204.0,0.0,360.0,201.0,195.0,702.0,0.0,201.0
25,800,43.0,159.0,199.0,43.0,198.0,699.0,0.0,202.0
26,800,360.0,0.0,201.0,356.0,201.0,698.0,0.0,197.0
27,800,203.0,173.0,372.0,203.0,43.0,544.0,159.0,217.0
28,800,201.0,102.0,130.0,110.0,356.0,683.0,0.0,198.0
29,800,463.0,100.0,370.0,381.0,203.0,688.0,173.0,206.0
30,800,212.0,90.0,120.0,149.0,110.0,592.0,102.0,210.0
31,800,433.0,0.0,280.0,301.0,381.0,763.0,100.0,213.0
32,800,252.0,0.0,120.0,176.0,149.0,699.0,90.0,186.0
33,800,356.0,0.0,280.0,114.0,301.0,814.0,0.0,204.0
34,800,362.0,0.0,120.0,207.0,176.0,786.0,0.0,207.0
35,800,435.0,0.0,280.0,203.0,114.0,693.0,0.0,203.0
36,800,352.0,0.0,120.0,196.0,207.0,697.0,0.0,196.0
37,800,436.0,0.0,280.0,213.0,203.0,704.0,0.0,213.0
38,800,343.0,0.0,120.0,193.0,196.0,687.0,0.0,193.0
39,800,430.0,0.0,280.0,203.0,213.0,707.0,0.0,203.0
40,800,347.0,0.0,120.0,197.0,193.0,697.0,0.0,197.0
41,800,430.0,0.0,280.0,207.0,203.0,703.0,0.0,207.0
42,800,343.0,0.0,120.0,208.0,197.0,693.0,0.0,208.0
43,800,415.0,0.0,280.0,184.0,207.0,692.0,0.0,184.0
44,800,351.0,0.0,120.0,183.0,208.0,716.0,0.0,183.0
45,800,448.0,0.0,280.0,197.0,184.0,717.0,0.0,197.0
46,800,371.0,0.0,120.0,196.0,183.0,703.0,0.0,196.0
47,800,455.0,0.0,280.0,203.0,197.0,704.0,0.0,203.0
48,800,372.0,0.0,120.0,206.0,196.0,697.0,0.0,206.0
49,800,446.0,0.0,280.0,188.0,203.0,694.0,0.0,188.0
50,800,378.0,0.0,120.0,192.0,206.0,712.0,0.0,192.0
51,800,466.0,0.0,280.0,199.0,188.0,708.0,0.0,199.0
52,800,387.0,0.0,120.0,227.0,192.0,701.0,0.0,227.0
