t,mn_production_max,mn_inventory,mn_backlog,mn_production,mn_allocation,dr_shipment_received,dr_inventory,dr_backlog,dr_orders_from_hc
0,800,0.0,900.0,800.0,0.0,0.0,500.0,0.0,604.0
1,800,0.0,900.0,500.0,0.0,0.0,0.0,0.0,191.0
2,800,800.0,1267.0,800.0,533.0,0.0,0.0,900.0,300.0
3,800,767.0,884.0,484.0,383.0,0.0,0.0,900.0,374.0
4,800,1184.0,815.0,731.0,758.0,533.0,533.0,1267.0,517.0
5,800,910.0,0.0,-331.0,815.0,383.0,594.0,884.0,383.0
6,800,826.0,0.0,731.0,462.0,758.0,1014.0,815.0,381.0
7,800,33.0,0.0,-331.0,0.0,815.0,1253.0,0.0,249.0
8,800,764.0,0.0,731.0,458.0,462.0,1020.0,0.0,10.0
9,800,-25.0,0.0,-331.0,0.0,0.0,442.0,0.0,0.0
10,800,706.0,0.0,731.0,0.0,458.0,900.0,0.0,0.0
11,800,375.0,0.0,-331.0,0.0,0.0,900.0,0.0,0.0
12,800,1106.0,0.0,731.0,0.0,0.0,900.0,0.0,0.0
13,800,775.0,0.0,-331.0,0.0,0.0,900.0,0.0,0.0
14,800,1506.0,0.0,731.0,105.0,0.0,900.0,0.0,105.0
15,40,1070.0,0.0,-331.0,202.0,0.0,795.0,0.0,202.0
16,40,1599.0,0.0,40.0,211.0,105.0,698.0,0.0,211.0
17,40,1057.0,0.0,40.0,202.0,202.0,689.0,0.0,202.0
18,40,895.0,0.0,40.0,197.0,211.0,698.0,0.0,197.0
19,40,738.0,0.0,40.0,211.0,202.0,703.0,0.0,211.0
20,40,567.0,0.0,40.0,205.0,197.0,689.0,0.0,205.0
21,40,402.0,0.0,40.0,202.0,211.0,695.0,0.0,202.0
22,40,240.0,0.0,40.0,189.0,205.0,698.0,0.0,189.0
23,40,91.0,103.0,40.0,91.0,202.0,711.0,0.0,194.0
24,40,40.0,279.0,40.0,30.0,189.0,706.0,0.0,206.0
25,40,50.0,544.0,40.0,33.0,91.0,591.0,103.0,195.0
26,40,57.0,892.0,40.0,35.0,30.0,426.0,279.0,207.0
27,40,62.0,1314.0,40.0,37.0,33.0,252.0,544.0,194.0
28,40,65.0,1718.0,40.0,37.0,35.0,93.0,892.0,200.0
29,40,68.0,2130.0,40.0,37.0,37.0,37.0,1314.0,200.0
30,40,71.0,2527.0,40.0,38.0,37.0,47.0,1718.0,304.0
31,40,73.0,2933.0,40.0,39.0,37.0,53.0,2130.0,375.0
32,40,74.0,3326.0,40.0,39.0,38.0,58.0,2527.0,493.0
33,40,75.0,3728.0,40.0,39.0,39.0,62.0,2933.0,407.0
34,40,76.0,4118.0,40.0,40.0,39.0,66.0,3326.0,493.0
35,40,76.0,4517.0,40.0,39.0,39.0,68.0,3728.0,407.0
36,40,77.0,4906.0,40.0,40.0,40.0,72.0,4118.0,493.0
37,40,77.0,5303.0,40.0,40.0,39.0,72.0,4517.0,407.0
38,40,77.0,5692.0,40.0,39.0,40.0,74.0,4906.0,493.0
39,40,78.0,6088.0,40.0,40.0,40.0,75.0,5303.0,407.0
40,40,78.0,6476.0,40.0,40.0,39.0,75.0,5692.0,493.0
41,40,78.0,6871.0,40.0,40.0,40.0,76.0,6088.0,407.0
42,40,78.0,7259.0,40.0,40.0,40.0,77.0,6476.0,493.0
43,40,78.0,7653.0,40.0,40.0,40.0,77.0,6871.0,407.0
44,40,78.0,8041.0,40.0,40.0,40.0,78.0,7259.0,493.0
45,40,78.0,8435.0,40.0,40.0,40.0,78.0,7653.0,407.0
46,40,78.0,8824.0,40.0,39.0,40.0,78.0,8041.0,493.0
47,40,79.0,9218.0,40.0,40.0,40.0,78.0,8435.0,407.0
48,40,79.0,9606.0,40.0,40.0,39.0,77.0,8824.0,493.0
49,40,79.0,9999.0,40.0,40.0,40.0,78.0,9218.0,407.0
50,40,79.0,10387.0,40.0,40.0,40.0,79.0,9606.0,493.0
51,40,79.0,10780.0,40.0,40.0,40.0,79.0,9999.0,407.0
52,40,79.0,11168.0,40.0,40.0,40.0,79.0,10387.0,493.0
53,40,79.0,11561.0,40.0,40.0,40.0,79.0,10780.0,407.0
54,40,79.0,11949.0,40.0,40.0,40.0,79.0,11168.0,493.0
55,40,79.0,12342.0,40.0,40.0,40.0,79.0,11561.0,407.0
56,40,79.0,12730.0,40.0,40.0,40.0,79.0,11949.0,493.0
57,40,79.0,13123.0,40.0,40.0,40.0,79.0,12342.0,407.0
58,40,79.0,13511.0,40.0,40.0,40.0,79.0,12730.0,493.0
59,40,79.0,13904.0,40.0,40.0,40.0,79.0,13123.0,407.0
60,40,79.0,14292.0,40.0,40.0,40.0,79.0,13511.0,493.0
61,40,79.0,14685.0,40.0,40.0,40.0,79.0,13904.0,407.0
62,40,79.0,15073.0,40.0,40.0,40.0,79.0,14292.0,493.0
63,40,79.0,15466.0,40.0,40.0,40.0,79.0,14685.0,407.0
64,40,79.0,15854.0,40.0,40.0,40.0,79.0,15073.0,493.0
65,40,79.0,16247.0,40.0,40.0,40.0,79.0,15466.0,407.0
66,40,79.0,16635.0,40.0,40.0,40.0,79.0,15854.0,493.0
67,40,79.0,17028.0,40.0,40.0,40.0,79.0,16247.0,407.0
68,40,79.0,17417.0,40.0,39.0,40.0,79.0,16635.0,493.0
69,40,80.0,17809.0,40.0,40.0,40.0,79.0,17028.0,407.0
70,40,80.0,18198.0,40.0,40.0,39.0,79.0,17417.0,493.0
71,40,80.0,18589.0,40.0,40.0,40.0,79.0,17809.0,407.0
72,40,80.0,18978.0,40.0,40.0,40.0,80.0,18198.0,493.0
73,40,80.0,19369.0,40.0,40.0,40.0,80.0,18589.0,407.0
74,40,80.0,19758.0,40.0,40.0,40.0,80.0,18978.0,493.0
75,40,80.0,20149.0,40.0,40.0,40.0,80.0,19369.0,407.0
76,40,80.0,20538.0,40.0,40.0,40.0,80.0,19758.0,493.0
77,40,80.0,20929.0,40.0,40.0,40.0,80.0,20149.0,407.0
78,40,80.0,21318.0,40.0,40.0,40.0,80.0,20538.0,493.0
79,40,80.0,21709.0,40.0,40.0,40.0,80.0,20929.0,407.0
80,40,80.0,22098.0,40.0,40.0,40.0,80.0,21318.0,493.0
81,40,80.0,22489.0,40.0,40.0,40.0,80.0,21709.0,407.0
82,40,80.0,22878.0,40.0,40.0,40.0,80.0,22098.0,493.0
83,40,80.0,23269.0,40.0,40.0,40.0,80.0,22489.0,407.0
84,40,80.0,23658.0,40.0,40.0,40.0,80.0,22878.0,493.0
85,40,80.0,24049.0,40.0,40.0,40.0,80.0,23269.0,407.0
86,40,80.0,24438.0,40.0,40.0,40.0,80.0,23658.0,493.0
87,40,80.0,24829.0,40.0,40.0,40.0,80.0,24049.0,407.0
88,40,80.0,25218.0,40.0,40.0,40.0,80.0,24438.0,493.0
89,40,80.0,25609.0,40.0,40.0,40.0,80.0,24829.0,407.0
90,40,80.0,25998.0,40.0,40.0,40.0,80.0,25218.0,493.0
91,40,80.0,26389.0,40.0,40.0,40.0,80.0,25609.0,407.0
92,40,80.0,26778.0,40.0,40.0,40.0,80.0,25998.0,493.0
93,40,80.0,27169.0,40.0,40.0,40.0,80.0,26389.0,407.0
94,40,80.0,27558.0,40.0,40.0,40.0,80.0,26778.0,493.0
95,40,80.0,27949.0,40.0,40.0,40.0,80.0,27169.0,407.0
96,40,80.0,28338.0,40.0,40.0,40.0,80.0,27558.0,493.0
97,40,80.0,28729.0,40.0,40.0,40.0,80.0,27949.0,407.0
98,40,80.0,29118.0,40.0,40.0,40.0,80.0,28338.0,493.0
99,40,80.0,29509.0,40.0,40.0,40.0,80.0,28729.0,407.0
100,40,80.0,29898.0,40.0,40.0,40.0,80.0,29118.0,493.0
101,40,80.0,30289.0,40.0,40.0,40.0,80.0,29509.0,407.0
102,40,80.0,30678.0,40.0,40.0,40.0,80.0,29898.0,493.0
103,40,80.0,31069.0,40.0,40.0,40.0,80.0,30289.0,407.0
104,40,80.0,31458.0,40.0,40.0,40.0,80.0,30678.0,493.0
105,40,80.0,31849.0,40.0,40.0,40.0,80.0,31069.0,407.0
106,40,80.0,32238.0,40.0,40.0,40.0,80.0,31458.0,493.0
107,40,80.0,32629.0,40.0,40.0,40.0,80.0,31849.0,407.0
108,40,80.0,33018.0,40.0,40.0,40.0,80.0,32238.0,493.0
109,40,80.0,33409.0,40.0,40.0,40.0,80.0,32629.0,407.0
110,40,80.0,33798.0,40.0,40.0,40.0,80.0,33018.0,493.0
111,40,80.0,34189.0,40.0,40.0,40.0,80.0,33409.0,407.0
112,40,80.0,34578.0,40.0,40.0,40.0,80.0,33798.0,493.0
113,40,80.0,34969.0,40.0,40.0,40.0,80.0,34189.0,407.0
114,40,80.0,35358.0,40.0,40.0,40.0,80.0,34578.0,493.0
115,40,80.0,35749.0,40.0,40.0,40.0,80.0,34969.0,407.0
116,40,80.0,36138.0,40.0,40.0,40.0,80.0,35358.0,493.0
117,40,80.0,36529.0,40.0,40.0,40.0,80.0,35749.0,407.0
118,40,80.0,36918.0,40.0,40.0,40.0,80.0,36138.0,493.0
119,40,80.0,37309.0,40.0,40.0,40.0,80.0,36529.0,407.0
120,40,80.0,37698.0,40.0,40.0,40.0,80.0,36918.0,493.0
121,40,80.0,38089.0,40.0,40.0,40.0,80.0,37309.0,407.0
122,40,80.0,38478.0,40.0,40.0,40.0,80.0,37698.0,493.0
123,40,80.0,38869.0,40.0,40.0,40.0,80.0,38089.0,407.0
124,40,80.0,39258.0,40.0,40.0,40.0,80.0,38478.0,493.0
125,40,80.0,39649.0,40.0,40.0,40.0,80.0,38869.0,407.0
126,40,80.0,40038.0,40.0,40.0,40.0,80.0,39258.0,493.0
127,40,80.0,40429.0,40.0,40.0,40.0,80.0,39649.0,407.0
128,40,80.0,40818.0,40.0,40.0,40.0,80.0,40038.0,493.0
129,40,80.0,41209.0,40.0,40.0,40.0,80.0,40429.0,407.0
130,40,80.0,41598.0,40.0,40.0,40.0,80.0,40818.0,493.0
131,40,80.0,41989.0,40.0,40.0,40.0,80.0,41209.0,407.0
132,40,80.0,42378.0,40.0,40.0,40.0,80.0,41598.0,493.0
133,40,80.0,42769.0,40.0,40.0,40.0,80.0,41989.0,407.0
134,40,80.0,43158.0,40.0,40.0,40.0,80.0,42378.0,493.0
135,40,80.0,43549.0,40.0,40.0,40.0,80.0,42769.0,407.0
