t,mn_production_max,mn_inventory,mn_backlog,mn_production,mn_allocation,dr_shipment_received,dr_inventory,dr_backlog,dr_orders_from_hc
0,800,0.0,900.0,800.0,0.0,0.0,500.0,0.0,591.0
1,800,0.0,900.0,500.0,0.0,0.0,0.0,0.0,194.0
2,800,800.0,1267.0,800.0,533.0,0.0,0.0,900.0,282.0
3,800,767.0,884.0,484.0,383.0,0.0,0.0,900.0,388.0
4,800,1184.0,815.0,731.0,757.0,533.0,533.0,1267.0,492.0
5,800,911.0,0.0,-331.0,815.0,383.0,595.0,884.0,408.0
6,800,827.0,0.0,731.0,460.0,757.0,1009.0,815.0,355.0
7,800,36.0,391.0,60.0,36.0,815.0,1255.0,0.0,265.0
8,800,731.0,0.0,340.0,391.0,460.0,473.0,0.0,0.0
9,800,400.0,0.0,60.0,391.0,36.0,509.0,391.0,0.0
10,800,349.0,0.0,340.0,0.0,391.0,900.0,0.0,0.0
11,800,409.0,0.0,60.0,0.0,391.0,1291.0,0.0,0.0
12,800,749.0,0.0,340.0,0.0,0.0,1291.0,0.0,0.0
13,800,809.0,0.0,60.0,0.0,0.0,1291.0,0.0,0.0
14,800,1149.0,0.0,340.0,0.0,0.0,1291.0,0.0,192.0
15,40,1209.0,0.0,40.0,6.0,0.0,1099.0,0.0,205.0
16,40,1543.0,0.0,40.0,197.0,0.0,894.0,0.0,197.0
17,40,1386.0,0.0,40.0,198.0,6.0,703.0,0.0,198.0
18,40,1228.0,0.0,40.0,197.0,197.0,702.0,0.0,197.0
19,40,1071.0,0.0,40.0,201.0,198.0,703.0,0.0,201.0
20,40,910.0,0.0,40.0,190.0,197.0,699.0,0.0,190.0
21,40,760.0,0.0,40.0,198.0,201.0,710.0,0.0,198.0
22,40,602.0,0.0,40.0,175.0,190.0,702.0,0.0,175.0
23,40,467.0,0.0,40.0,214.0,198.0,725.0,0.0,214.0
24,800,293.0,0.0,360.0,211.0,175.0,686.0,0.0,211.0
