t,mn_production_max,mn_inventory,mn_backlog,mn_production,mn_allocation,dr_shipment_received,dr_inventory,dr_backlog,dr_orders_from_hc
0,800,0.0,900.0,800.0,0.0,0.0,500.0,0.0,611.0
1,800,0.0,900.0,500.0,0.0,0.0,0.0,0.0,180.0
2,800,800.0,1267.0,800.0,533.0,0.0,0.0,900.0,299.0
3,800,767.0,884.0,484.0,383.0,0.0,0.0,900.0,401.0
4,800,1184.0,812.0,728.0,757.0,533.0,533.0,1267.0,479.0
5,800,911.0,0.0,-328.0,812.0,383.0,598.0,884.0,421.0
6,800,827.0,0.0,728.0,457.0,757.0,1010.0,812.0,349.0
7,800,42.0,0.0,-328.0,0.0,812.0,1255.0,0.0,265.0
8,800,770.0,0.0,728.0,463.0,457.0,1012.0,0.0,0.0
9,800,-21.0,0.0,-328.0,0.0,0.0,437.0,0.0,0.0
10,800,707.0,0.0,728.0,0.0,463.0,900.0,0.0,0.0
11,800,379.0,0.0,-328.0,0.0,0.0,900.0,0.0,0.0
12,800,1107.0,0.0,728.0,0.0,0.0,900.0,0.0,0.0
13,800,779.0,0.0,-328.0,0.0,0.0,900.0,0.0,0.0
14,800,1507.0,0.0,728.0,165.0,0.0,900.0,0.0,165.0
15,40,1014.0,0.0,-328.0,198.0,0.0,735.0,0.0,198.0
16,40,1544.0,0.0,40.0,194.0,165.0,702.0,0.0,194.0
17,40,1022.0,0.0,40.0,186.0,198.0,706.0,0.0,186.0
18,40,876.0,0.0,40.0,198.0,194.0,714.0,0.0,198.0
19,40,718.0,0.0,40.0,196.0,186.0,702.0,0.0,196.0
20,40,562.0,0.0,40.0,195.0,198.0,704.0,0.0,195.0
21,40,407.0,0.0,40.0,186.0,196.0,705.0,0.0,186.0
22,40,261.0,0.0,40.0,196.0,195.0,714.0,0.0,196.0
23,40,105.0,100.0,40.0,105.0,186.0,704.0,0.0,205.0
24,40,40.0,257.0,40.0,29.0,196.0,695.0,0.0,186.0
25,40,51.0,528.0,40.0,34.0,105.0,614.0,100.0,205.0
26,40,57.0,844.0,40.0,35.0,29.0,438.0,257.0,194.0
27,40,62.0,1273.0,40.0,37.0,34.0,278.0,528.0,195.0
28,40,65.0,1670.0,40.0,37.0,35.0,118.0,844.0,203.0
29,40,68.0,2089.0,40.0,38.0,37.0,37.0,1273.0,207.0
30,40,70.0,2479.0,40.0,38.0,37.0,46.0,1670.0,283.0
31,40,72.0,2892.0,40.0,39.0,38.0,53.0,2089.0,378.0
32,40,73.0,3278.0,40.0,38.0,38.0,58.0,2479.0,438.0
33,40,75.0,3688.0,40.0,39.0,39.0,63.0,2892.0,462.0
34,40,76.0,4070.0,40.0,40.0,38.0,65.0,3278.0,438.0
35,800,76.0,4478.0,800.0,39.0,39.0,68.0,3688.0,462.0
36,800,77.0,4858.0,800.0,40.0,40.0,71.0,4070.0,438.0
37,800,837.0,4868.0,800.0,436.0,39.0,72.0,4478.0,462.0
38,800,1201.0,4662.0,800.0,625.0,40.0,74.0,4858.0,438.0
39,800,1376.0,4215.0,800.0,706.0,436.0,471.0,4868.0,462.0
40,800,1470.0,3699.0,800.0,755.0,625.0,847.0,4662.0,438.0
41,800,1515.0,3063.0,800.0,770.0,706.0,1108.0,4215.0,407.0
42,800,1545.0,2415.0,800.0,789.0,755.0,1282.0,3699.0,202.0
43,800,1556.0,1691.0,800.0,788.0,770.0,1395.0,3063.0,33.0
44,800,1568.0,980.0,580.0,805.0,789.0,1484.0,2415.0,0.0
45,800,1563.0,0.0,-180.0,1021.0,788.0,1530.0,1691.0,0.0
46,800,1122.0,0.0,580.0,433.0,805.0,1570.0,980.0,0.0
47,800,509.0,0.0,-180.0,0.0,1021.0,1447.0,0.0,0.0
48,800,1089.0,0.0,580.0,0.0,433.0,1880.0,0.0,0.0
49,800,909.0,0.0,-180.0,0.0,0.0,1880.0,0.0,0.0
50,800,1489.0,0.0,580.0,0.0,0.0,1880.0,0.0,0.0
51,800,1309.0,0.0,-180.0,0.0,0.0,1880.0,0.0,0.0
52,800,1889.0,0.0,580.0,0.0,0.0,1880.0,0.0,0.0
53,800,1709.0,0.0,-180.0,0.0,0.0,1880.0,0.0,0.0
54,800,2289.0,0.0,580.0,0.0,0.0,1880.0,0.0,0.0
55,800,2109.0,0.0,-180.0,0.0,0.0,1880.0,0.0,0.0
56,800,2689.0,0.0,580.0,0.0,0.0,1880.0,0.0,0.0
57,800,2509.0,0.0,-180.0,0.0,0.0,1880.0,0.0,0.0
58,800,3089.0,0.0,580.0,0.0,0.0,1880.0,0.0,0.0
59,800,2909.0,0.0,-180.0,0.0,0.0,1880.0,0.0,0.0
60,800,3489.0,0.0,580.0,0.0,0.0,1880.0,0.0,0.0
61,800,3309.0,0.0,-180.0,0.0,0.0,1880.0,0.0,0.0
62,800,3889.0,0.0,580.0,0.0,0.0,1880.0,0.0,54.0
63,800,3709.0,0.0,-180.0,0.0,0.0,1826.0,0.0,209.0
64,800,4289.0,0.0,580.0,0.0,0.0,1617.0,0.0,201.0
65,800,4109.0,0.0,-180.0,0.0,0.0,1416.0,0.0,202.0
66,800,4689.0,0.0,580.0,0.0,0.0,1214.0,0.0,193.0
67,800,4509.0,0.0,-180.0,76.0,0.0,1021.0,0.0,197.0
68,800,5013.0,0.0,580.0,180.0,0.0,824.0,0.0,180.0
69,800,4653.0,0.0,-180.0,197.0,76.0,720.0,0.0,197.0
70,800,5036.0,0.0,580.0,180.0,180.0,703.0,0.0,180.0
71,800,4676.0,0.0,-180.0,206.0,197.0,720.0,0.0,206.0
72,800,5050.0,0.0,580.0,199.0,180.0,694.0,0.0,199.0
73,800,4671.0,0.0,-180.0,191.0,206.0,701.0,0.0,191.0
74,800,5060.0,0.0,580.0,199.0,199.0,709.0,0.0,199.0
75,800,4681.0,0.0,-180.0,211.0,191.0,701.0,0.0,211.0
76,800,5050.0,0.0,580.0,192.0,199.0,689.0,0.0,192.0
77,800,4678.0,0.0,-180.0,201.0,211.0,708.0,0.0,201.0
78,800,5057.0,0.0,580.0,193.0,192.0,699.0,0.0,193.0
79,800,4684.0,0.0,-180.0,200.0,201.0,707.0,0.0,200.0
80,800,5064.0,0.0,580.0,200.0,193.0,700.0,0.0,200.0
81,800,4684.0,0.0,-180.0,217.0,200.0,700.0,0.0,217.0
82,800,5047.0,0.0,580.0,195.0,200.0,683.0,0.0,195.0
83,800,4672.0,0.0,-180.0,211.0,217.0,705.0,0.0,211.0
84,800,5041.0,0.0,580.0,187.0,195.0,689.0,0.0,187.0
85,800,4674.0,0.0,-180.0,200.0,211.0,713.0,0.0,200.0
86,800,5054.0,0.0,580.0,184.0,187.0,700.0,0.0,184.0
87,800,4690.0,0.0,-180.0,169.0,200.0,716.0,0.0,169.0
88,800,5101.0,0.0,580.0,195.0,184.0,731.0,0.0,195.0
89,800,4726.0,0.0,-180.0,194.0,169.0,705.0,0.0,194.0
90,800,5112.0,0.0,580.0,189.0,195.0,706.0,0.0,189.0
91,800,4743.0,0.0,-180.0,190.0,194.0,711.0,0.0,190.0
92,800,5133.0,0.0,580.0,215.0,189.0,710.0,0.0,215.0
93,800,4738.0,0.0,-180.0,192.0,190.0,685.0,0.0,192.0
94,800,5126.0,0.0,580.0,204.0,215.0,708.0,0.0,204.0
95,800,4742.0,0.0,-180.0,210.0,192.0,696.0,0.0,210.0
96,800,5112.0,0.0,580.0,212.0,204.0,690.0,0.0,212.0
97,800,4720.0,0.0,-180.0,191.0,210.0,688.0,0.0,191.0
98,800,5109.0,0.0,580.0,186.0,212.0,709.0,0.0,186.0
99,800,4743.0,0.0,-180.0,214.0,191.0,714.0,0.0,214.0
100,800,5109.0,0.0,580.0,198.0,186.0,686.0,0.0,198.0
101,800,4731.0,0.0,-180.0,195.0,214.0,702.0,0.0,195.0
102,800,5116.0,0.0,580.0,204.0,198.0,705.0,0.0,204.0
103,800,4732.0,0.0,-180.0,192.0,195.0,696.0,0.0,192.0
104,800,5120.0,0.0,580.0,203.0,204.0,708.0,0.0,203.0
105,800,4737.0,0.0,-180.0,196.0,192.0,697.0,0.0,196.0
106,800,5121.0,0.0,580.0,191.0,203.0,704.0,0.0,191.0
107,800,4750.0,0.0,-180.0,212.0,196.0,709.0,0.0,212.0
108,800,5118.0,0.0,580.0,196.0,191.0,688.0,0.0,196.0
