t,mn_production_max,mn_inventory,mn_backlog,mn_production,mn_allocation,dr_shipment_received,dr_inventory,dr_backlog,dr_orders_from_hc
0,800,0.0,900.0,800.0,0.0,0.0,500.0,0.0,604.0
1,800,0.0,900.0,500.0,0.0,0.0,0.0,0.0,201.0
2,800,800.0,1267.0,800.0,533.0,0.0,0.0,900.0,319.0
3,800,767.0,884.0,484.0,383.0,0.0,0.0,900.0,388.0
4,800,1184.0,814.0,730.0,757.0,533.0,533.0,1267.0,511.0
5,800,911.0,0.0,-330.0,814.0,383.0,596.0,884.0,389.0
6,800,827.0,0.0,730.0,460.0,757.0,1014.0,814.0,383.0
7,800,37.0,0.0,-330.0,0.0,814.0,1254.0,0.0,241.0
8,800,767.0,0.0,730.0,509.0,460.0,1024.0,0.0,20.0
9,800,-72.0,0.0,-330.0,0.0,0.0,391.0,0.0,0.0
10,800,658.0,0.0,730.0,0.0,509.0,900.0,0.0,0.0
11,800,328.0,0.0,-330.0,0.0,0.0,900.0,0.0,0.0
12,800,1058.0,0.0,730.0,0.0,0.0,900.0,0.0,0.0
13,800,728.0,0.0,-330.0,0.0,0.0,900.0,0.0,0.0
14,800,1458.0,0.0,730.0,114.0,0.0,900.0,0.0,114.0
15,40,1014.0,0.0,-330.0,202.0,0.0,786.0,0.0,202.0
16,40,1542.0,0.0,40.0,204.0,114.0,698.0,0.0,204.0
17,40,1008.0,0.0,40.0,185.0,202.0,696.0,0.0,185.0
18,40,863.0,0.0,40.0,200.0,204.0,715.0,0.0,200.0
19,40,703.0,0.0,40.0,221.0,185.0,700.0,0.0,221.0
20,40,522.0,0.0,40.0,192.0,200.0,679.0,0.0,192.0
21,40,370.0,0.0,40.0,196.0,221.0,708.0,0.0,196.0
22,40,214.0,0.0,40.0,184.0,192.0,704.0,0.0,184.0
23,40,70.0,132.0,40.0,70.0,196.0,716.0,0.0,202.0
24,40,40.0,292.0,40.0,28.0,184.0,698.0,0.0,188.0
25,40,52.0,592.0,40.0,35.0,70.0,580.0,132.0,203.0
26,40,57.0,919.0,40.0,35.0,28.0,405.0,292.0,202.0
27,40,62.0,1391.0,40.0,37.0,35.0,238.0,592.0,209.0
28,40,65.0,1746.0,40.0,36.0,35.0,64.0,919.0,190.0
29,40,69.0,2206.0,40.0,38.0,37.0,37.0,1391.0,209.0
30,40,71.0,2554.0,40.0,38.0,36.0,47.0,1746.0,321.0
31,40,73.0,3008.0,40.0,39.0,38.0,54.0,2206.0,386.0
32,40,74.0,3352.0,40.0,39.0,38.0,59.0,2554.0,506.0
33,40,75.0,3801.0,40.0,40.0,39.0,63.0,3008.0,394.0
34,40,75.0,4143.0,40.0,39.0,39.0,67.0,3352.0,506.0
35,40,76.0,4589.0,40.0,40.0,40.0,70.0,3801.0,394.0
36,40,76.0,4931.0,40.0,39.0,39.0,72.0,4143.0,506.0
37,40,77.0,5375.0,40.0,40.0,40.0,73.0,4589.0,394.0
38,40,77.0,5717.0,40.0,39.0,39.0,74.0,4931.0,506.0
39,40,78.0,6160.0,40.0,40.0,40.0,75.0,5375.0,394.0
40,40,78.0,6501.0,40.0,40.0,39.0,75.0,5717.0,506.0
41,40,78.0,6943.0,40.0,40.0,40.0,76.0,6160.0,394.0
42,40,78.0,7284.0,40.0,40.0,40.0,77.0,6501.0,506.0
43,40,78.0,7725.0,40.0,40.0,40.0,77.0,6943.0,394.0
44,40,78.0,8067.0,40.0,39.0,40.0,78.0,7284.0,506.0
45,40,79.0,8508.0,40.0,40.0,40.0,78.0,7725.0,394.0
46,40,79.0,8849.0,40.0,40.0,39.0,77.0,8067.0,506.0
47,40,79.0,9290.0,40.0,40.0,40.0,78.0,8508.0,394.0
48,40,79.0,9631.0,40.0,40.0,40.0,78.0,8849.0,506.0
49,40,79.0,10071.0,40.0,40.0,40.0,78.0,9290.0,394.0
50,800,79.0,10412.0,800.0,40.0,40.0,79.0,9631.0,506.0
51,800,79.0,10852.0,800.0,40.0,40.0,79.0,10071.0,394.0
52,800,839.0,10807.0,800.0,426.0,40.0,79.0,10412.0,506.0
53,800,1213.0,10668.0,800.0,619.0,40.0,79.0,10852.0,394.0
54,800,1394.0,10158.0,800.0,703.0,426.0,465.0,10807.0,506.0
55,800,1491.0,9693.0,800.0,756.0,619.0,846.0,10668.0,394.0
56,800,1535.0,8986.0,800.0,769.0,703.0,1119.0,10158.0,489.0
57,800,1566.0,8386.0,800.0,791.0,756.0,1303.0,9693.0,163.0
58,800,1575.0,7604.0,800.0,787.0,769.0,1416.0,8986.0,122.0
59,800,1588.0,6950.0,800.0,801.0,791.0,1495.0,8386.0,0.0
60,800,1587.0,6157.0,800.0,793.0,787.0,1535.0,7604.0,0.0
61,800,1594.0,5468.0,800.0,804.0,801.0,1569.0,6950.0,0.0
62,800,1590.0,4673.0,800.0,795.0,793.0,1578.0,6157.0,0.0
63,800,1595.0,3970.0,800.0,806.0,804.0,1593.0,5468.0,0.0
64,800,1589.0,3177.0,800.0,794.0,795.0,1592.0,4673.0,0.0
65,800,1595.0,2466.0,800.0,809.0,806.0,1602.0,3970.0,0.0
66,800,1586.0,1677.0,800.0,793.0,794.0,1595.0,3177.0,0.0
67,800,1593.0,952.0,552.0,817.0,809.0,1607.0,2466.0,0.0
68,800,1576.0,0.0,-152.0,961.0,793.0,1597.0,1677.0,0.0
69,800,1167.0,0.0,552.0,461.0,817.0,1616.0,952.0,0.0
70,800,554.0,0.0,-152.0,0.0,961.0,1391.0,0.0,0.0
71,800,1106.0,0.0,552.0,0.0,461.0,1852.0,0.0,0.0
72,800,954.0,0.0,-152.0,0.0,0.0,1852.0,0.0,0.0
73,800,1506.0,0.0,552.0,0.0,0.0,1852.0,0.0,0.0
74,800,1354.0,0.0,-152.0,0.0,0.0,1852.0,0.0,0.0
75,800,1906.0,0.0,552.0,0.0,0.0,1852.0,0.0,0.0
76,800,1754.0,0.0,-152.0,0.0,0.0,1852.0,0.0,0.0
77,800,2306.0,0.0,552.0,0.0,0.0,1852.0,0.0,0.0
78,800,2154.0,0.0,-152.0,0.0,0.0,1852.0,0.0,0.0
79,800,2706.0,0.0,552.0,0.0,0.0,1852.0,0.0,0.0
80,800,2554.0,0.0,-152.0,0.0,0.0,1852.0,0.0,0.0
81,800,3106.0,0.0,552.0,0.0,0.0,1852.0,0.0,0.0
82,800,2954.0,0.0,-152.0,0.0,0.0,1852.0,0.0,0.0
83,800,3506.0,0.0,552.0,0.0,0.0,1852.0,0.0,0.0
84,800,3354.0,0.0,-152.0,0.0,0.0,1852.0,0.0,0.0
85,800,3906.0,0.0,552.0,0.0,0.0,1852.0,0.0,0.0
86,800,3754.0,0.0,-152.0,0.0,0.0,1852.0,0.0,0.0
87,800,4306.0,0.0,552.0,0.0,0.0,1852.0,0.0,0.0
88,800,4154.0,0.0,-152.0,0.0,0.0,1852.0,0.0,0.0
89,800,4706.0,0.0,552.0,0.0,0.0,1852.0,0.0,0.0
90,800,4554.0,0.0,-152.0,0.0,0.0,1852.0,0.0,0.0
91,800,5106.0,0.0,552.0,0.0,0.0,1852.0,0.0,0.0
92,800,4954.0,0.0,-152.0,0.0,0.0,1852.0,0.0,0.0
93,800,5506.0,0.0,552.0,0.0,0.0,1852.0,0.0,0.0
94,800,5354.0,0.0,-152.0,0.0,0.0,1852.0,0.0,0.0
95,800,5906.0,0.0,552.0,0.0,0.0,1852.0,0.0,0.0
96,800,5754.0,0.0,-152.0,0.0,0.0,1852.0,0.0,0.0
97,800,6306.0,0.0,552.0,0.0,0.0,1852.0,0.0,0.0
98,800,6154.0,0.0,-152.0,0.0,0.0,1852.0,0.0,0.0
99,800,6706.0,0.0,552.0,0.0,0.0,1852.0,0.0,0.0
100,800,6554.0,0.0,-152.0,0.0,0.0,1852.0,0.0,0.0
101,800,7106.0,0.0,552.0,0.0,0.0,1852.0,0.0,0.0
102,800,6954.0,0.0,-152.0,0.0,0.0,1852.0,0.0,0.0
103,800,7506.0,0.0,552.0,0.0,0.0,1852.0,0.0,0.0
104,800,7354.0,0.0,-152.0,0.0,0.0,1852.0,0.0,0.0
105,800,7906.0,0.0,552.0,0.0,0.0,1852.0,0.0,0.0
106,800,7754.0,0.0,-152.0,0.0,0.0,1852.0,0.0,0.0
107,800,8306.0,0.0,552.0,0.0,0.0,1852.0,0.0,0.0
108,800,8154.0,0.0,-152.0,0.0,0.0,1852.0,0.0,0.0
109,800,8706.0,0.0,552.0,0.0,0.0,1852.0,0.0,0.0
110,800,8554.0,0.0,-152.0,0.0,0.0,1852.0,0.0,160.0
111,800,9106.0,0.0,552.0,0.0,0.0,1692.0,0.0,203.0
112,800,8954.0,0.0,-152.0,0.0,0.0,1489.0,0.0,208.0
113,800,9506.0,0.0,552.0,0.0,0.0,1281.0,0.0,213.0
114,800,9354.0,0.0,-152.0,36.0,0.0,1068.0,0.0,204.0
115,800,9870.0,0.0,552.0,196.0,0.0,864.0,0.0,196.0
116,800,9522.0,0.0,-152.0,192.0,36.0,704.0,0.0,192.0
117,800,9882.0,0.0,552.0,197.0,196.0,708.0,0.0,197.0
118,800,9533.0,0.0,-152.0,180.0,192.0,703.0,0.0,180.0
119,800,9905.0,0.0,552.0,210.0,197.0,720.0,0.0,210.0
120,800,9543.0,0.0,-152.0,195.0,180.0,690.0,0.0,195.0
121,800,9900.0,0.0,552.0,192.0,210.0,705.0,0.0,192.0
