t,mn_production_max,mn_inventory,mn_backlog,mn_production,mn_allocation,dr_shipment_received,dr_inventory,dr_backlog,dr_orders_from_hc
0,800,0.0,900.0,800.0,0.0,0.0,500.0,0.0,591.0
1,800,0.0,900.0,500.0,0.0,0.0,0.0,0.0,213.0
2,800,800.0,1267.0,800.0,533.0,0.0,0.0,900.0,300.0
3,800,767.0,884.0,484.0,383.0,0.0,0.0,900.0,419.0
4,800,1184.0,811.0,727.0,757.0,533.0,533.0,1267.0,481.0
5,800,911.0,0.0,-327.0,811.0,383.0,599.0,884.0,419.0
6,800,827.0,0.0,727.0,456.0,757.0,1012.0,811.0,353.0
7,800,44.0,0.0,-327.0,0.0,811.0,1255.0,0.0,283.0
8,800,771.0,0.0,727.0,519.0,456.0,1009.0,0.0,0.0
9,800,-75.0,0.0,-327.0,0.0,0.0,381.0,0.0,0.0
10,800,652.0,0.0,727.0,0.0,519.0,900.0,0.0,0.0
11,800,325.0,0.0,-327.0,0.0,0.0,900.0,0.0,0.0
12,800,1052.0,0.0,727.0,0.0,0.0,900.0,0.0,0.0
13,800,725.0,0.0,-327.0,0.0,0.0,900.0,0.0,0.0
14,800,1452.0,0.0,727.0,110.0,0.0,900.0,0.0,110.0
15,40,1015.0,0.0,-327.0,207.0,0.0,790.0,0.0,207.0
16,40,1535.0,0.0,40.0,207.0,110.0,693.0,0.0,207.0
17,40,1001.0,0.0,40.0,200.0,207.0,693.0,0.0,200.0
18,40,841.0,0.0,40.0,186.0,207.0,700.0,0.0,186.0
19,40,695.0,0.0,40.0,200.0,200.0,714.0,0.0,200.0
20,40,535.0,0.0,40.0,181.0,186.0,700.0,0.0,181.0
21,40,394.0,0.0,40.0,203.0,200.0,719.0,0.0,203.0
22,40,231.0,0.0,40.0,204.0,181.0,697.0,0.0,204.0
23,40,67.0,134.0,40.0,67.0,203.0,696.0,0.0,201.0
24,800,40.0,297.0,657.0,28.0,204.0,699.0,0.0,191.0
25,800,52.0,605.0,348.0,35.0,67.0,575.0,134.0,209.0
26,800,674.0,557.0,609.0,415.0,28.0,394.0,297.0,204.0
27,800,607.0,647.0,438.0,395.0,35.0,225.0,605.0,177.0
28,800,821.0,0.0,-38.0,782.0,415.0,463.0,557.0,183.0
29,800,477.0,0.0,438.0,293.0,395.0,675.0,647.0,203.0
30,800,146.0,0.0,-38.0,0.0,782.0,1254.0,0.0,195.0
31,800,584.0,0.0,438.0,0.0,293.0,1352.0,0.0,189.0
32,800,546.0,0.0,-38.0,0.0,0.0,1163.0,0.0,196.0
33,800,984.0,0.0,438.0,122.0,0.0,967.0,0.0,189.0
34,800,824.0,0.0,-38.0,204.0,0.0,778.0,0.0,204.0
35,800,1058.0,0.0,438.0,199.0,122.0,696.0,0.0,199.0
36,800,821.0,0.0,-38.0,200.0,204.0,701.0,0.0,200.0
37,800,1059.0,0.0,438.0,188.0,199.0,700.0,0.0,188.0
38,800,833.0,0.0,-38.0,180.0,200.0,712.0,0.0,180.0
39,800,1091.0,0.0,438.0,202.0,188.0,720.0,0.0,202.0
40,800,851.0,0.0,-38.0,203.0,180.0,698.0,0.0,203.0
41,800,1086.0,0.0,438.0,188.0,202.0,697.0,0.0,188.0
42,800,860.0,0.0,-38.0,201.0,203.0,712.0,0.0,201.0
43,800,1097.0,0.0,438.0,190.0,188.0,699.0,0.0,190.0
44,800,869.0,0.0,-38.0,192.0,201.0,710.0,0.0,192.0
45,800,1115.0,0.0,438.0,197.0,190.0,708.0,0.0,197.0
46,800,880.0,0.0,-38.0,219.0,192.0,703.0,0.0,219.0
47,800,1099.0,0.0,438.0,208.0,197.0,681.0,0.0,208.0
48,800,853.0,0.0,-38.0,189.0,219.0,692.0,0.0,189.0
49,800,1102.0,0.0,438.0,205.0,208.0,711.0,0.0,205.0
50,800,859.0,0.0,-38.0,202.0,189.0,695.0,0.0,202.0
51,800,1095.0,0.0,438.0,203.0,205.0,698.0,0.0,203.0
52,800,854.0,0.0,-38.0,201.0,202.0,697.0,0.0,201.0
53,800,1091.0,0.0,438.0,198.0,203.0,699.0,0.0,198.0
54,800,855.0,0.0,-38.0,179.0,201.0,702.0,0.0,179.0
55,800,1114.0,0.0,438.0,190.0,198.0,721.0,0.0,190.0
56,800,886.0,0.0,-38.0,202.0,179.0,710.0,0.0,202.0
57,800,1122.0,0.0,438.0,204.0,190.0,698.0,0.0,204.0
58,800,880.0,0.0,-38.0,204.0,202.0,696.0,0.0,204.0
59,800,1114.0,0.0,438.0,203.0,204.0,696.0,0.0,203.0
60,800,873.0,0.0,-38.0,180.0,204.0,697.0,0.0,180.0
61,800,1131.0,0.0,438.0,198.0,203.0,720.0,0.0,198.0
62,800,895.0,0.0,-38.0,212.0,180.0,702.0,0.0,212.0
63,800,1121.0,0.0,438.0,174.0,198.0,688.0,0.0,174.0
64,800,909.0,0.0,-38.0,205.0,212.0,726.0,0.0,205.0
65,800,1142.0,0.0,438.0,223.0,174.0,695.0,0.0,223.0
66,800,881.0,0.0,-38.0,200.0,205.0,677.0,0.0,200.0
67,800,1119.0,0.0,438.0,202.0,223.0,700.0,0.0,202.0
68,800,879.0,0.0,-38.0,209.0,200.0,698.0,0.0,209.0
69,800,1108.0,0.0,438.0,199.0,202.0,691.0,0.0,199.0
70,800,871.0,0.0,-38.0,210.0,209.0,701.0,0.0,210.0
71,800,1099.0,0.0,438.0,177.0,199.0,690.0,0.0,177.0
72,800,884.0,0.0,-38.0,195.0,210.0,723.0,0.0,195.0
73,800,1127.0,0.0,438.0,221.0,177.0,705.0,0.0,221.0
74,800,868.0,0.0,-38.0,220.0,195.0,679.0,0.0,220.0
75,800,1086.0,0.0,438.0,214.0,221.0,680.0,0.0,214.0
76,800,834.0,0.0,-38.0,210.0,220.0,686.0,0.0,210.0
77,800,1062.0,0.0,438.0,192.0,214.0,690.0,0.0,192.0
78,800,832.0,0.0,-38.0,199.0,210.0,708.0,0.0,199.0
79,800,1071.0,0.0,438.0,211.0,192.0,701.0,0.0,211.0
