t,mn_production_max,mn_inventory,mn_backlog,mn_production,mn_allocation,dr_shipment_received,dr_inventory,dr_backlog,dr_orders_from_hc
0,800,0.0,900.0,800.0,0.0,0.0,500.0,0.0,604.0
1,800,0.0,900.0,500.0,0.0,0.0,0.0,0.0,216.0
2,800,800.0,1267.0,800.0,533.0,0.0,0.0,900.0,313.0
3,800,767.0,884.0,484.0,383.0,0.0,0.0,900.0,408.0
4,800,1184.0,811.0,727.0,757.0,533.0,533.0,1267.0,492.0
5,800,911.0,0.0,-327.0,811.0,383.0,599.0,884.0,408.0
6,800,827.0,0.0,727.0,455.0,757.0,1014.0,811.0,360.0
7,800,45.0,0.0,-327.0,0.0,811.0,1256.0,0.0,250.0
8,800,772.0,0.0,727.0,512.0,455.0,1018.0,0.0,0.0
9,800,-67.0,0.0,-327.0,0.0,0.0,388.0,0.0,0.0
10,800,660.0,0.0,727.0,0.0,512.0,900.0,0.0,0.0
11,800,333.0,0.0,-327.0,0.0,0.0,900.0,0.0,0.0
12,800,1060.0,0.0,727.0,0.0,0.0,900.0,0.0,0.0
13,800,733.0,0.0,-327.0,0.0,0.0,900.0,0.0,0.0
14,800,1460.0,0.0,727.0,95.0,0.0,900.0,0.0,95.0
15,40,1038.0,0.0,-327.0,192.0,0.0,805.0,0.0,192.0
16,40,1573.0,0.0,40.0,199.0,95.0,708.0,0.0,199.0
17,800,1047.0,0.0,360.0,205.0,192.0,701.0,0.0,205.0
18,800,882.0,0.0,40.0,188.0,199.0,695.0,0.0,188.0
19,800,1054.0,0.0,360.0,210.0,205.0,712.0,0.0,210.0
20,800,884.0,0.0,40.0,205.0,188.0,690.0,0.0,205.0
21,800,1039.0,0.0,360.0,196.0,210.0,695.0,0.0,196.0
22,800,883.0,0.0,40.0,203.0,205.0,704.0,0.0,203.0
23,800,1040.0,0.0,360.0,209.0,196.0,697.0,0.0,209.0
24,800,871.0,0.0,40.0,202.0,203.0,691.0,0.0,202.0
25,800,1029.0,0.0,360.0,213.0,209.0,698.0,0.0,213.0
26,800,856.0,0.0,40.0,224.0,202.0,687.0,0.0,224.0
27,800,992.0,0.0,360.0,204.0,213.0,676.0,0.0,204.0
28,800,828.0,0.0,40.0,198.0,224.0,696.0,0.0,198.0
29,800,990.0,0.0,360.0,187.0,204.0,702.0,0.0,187.0
30,800,843.0,0.0,40.0,214.0,198.0,713.0,0.0,214.0
31,800,989.0,0.0,360.0,200.0,187.0,686.0,0.0,200.0
32,800,829.0,0.0,40.0,192.0,214.0,700.0,0.0,192.0
33,800,997.0,0.0,360.0,198.0,200.0,708.0,0.0,198.0
34,800,839.0,0.0,40.0,187.0,192.0,702.0,0.0,187.0
35,800,1012.0,0.0,360.0,197.0,198.0,713.0,0.0,197.0
36,800,855.0,0.0,40.0,203.0,187.0,703.0,0.0,203.0
37,800,1012.0,0.0,360.0,211.0,197.0,697.0,0.0,211.0
38,800,841.0,0.0,40.0,179.0,203.0,689.0,0.0,179.0
39,800,1022.0,0.0,360.0,198.0,211.0,721.0,0.0,198.0
40,800,864.0,0.0,40.0,191.0,179.0,702.0,0.0,191.0
41,800,1033.0,0.0,360.0,193.0,198.0,709.0,0.0,193.0
42,800,880.0,0.0,40.0,197.0,191.0,707.0,0.0,197.0
43,800,1043.0,0.0,360.0,192.0,193.0,703.0,0.0,192.0
44,800,891.0,0.0,40.0,194.0,197.0,708.0,0.0,194.0
45,800,1057.0,0.0,360.0,188.0,192.0,706.0,0.0,188.0
46,800,909.0,0.0,40.0,176.0,194.0,712.0,0.0,176.0
47,800,1093.0,0.0,360.0,197.0,188.0,724.0,0.0,197.0
48,800,936.0,0.0,40.0,194.0,176.0,703.0,0.0,194.0
49,800,1102.0,0.0,360.0,219.0,197.0,706.0,0.0,219.0
50,800,923.0,0.0,40.0,182.0,194.0,681.0,0.0,182.0
51,800,1101.0,0.0,360.0,194.0,219.0,718.0,0.0,194.0
52,800,947.0,0.0,40.0,188.0,182.0,706.0,0.0,188.0
53,800,1119.0,0.0,360.0,185.0,194.0,712.0,0.0,185.0
54,800,974.0,0.0,40.0,185.0,188.0,715.0,0.0,185.0
55,800,1149.0,0.0,360.0,189.0,185.0,715.0,0.0,189.0
56,800,1000.0,0.0,40.0,202.0,185.0,711.0,0.0,202.0
57,800,1158.0,0.0,360.0,187.0,189.0,698.0,0.0,187.0
58,800,1011.0,0.0,40.0,193.0,202.0,713.0,0.0,193.0
59,800,1178.0,0.0,360.0,204.0,187.0,707.0,0.0,204.0
60,800,1014.0,0.0,40.0,194.0,193.0,696.0,0.0,194.0
61,800,1180.0,0.0,360.0,205.0,204.0,706.0,0.0,205.0
62,800,1015.0,0.0,40.0,209.0,194.0,695.0,0.0,209.0
63,800,1166.0,0.0,360.0,209.0,205.0,691.0,0.0,209.0
64,800,997.0,0.0,40.0,177.0,209.0,691.0,0.0,177.0
65,800,1180.0,0.0,360.0,210.0,209.0,723.0,0.0,210.0
66,800,1010.0,0.0,40.0,192.0,177.0,690.0,0.0,192.0
67,800,1178.0,0.0,360.0,195.0,210.0,708.0,0.0,195.0
68,800,1023.0,0.0,40.0,189.0,192.0,705.0,0.0,189.0
69,800,1194.0,0.0,360.0,190.0,195.0,711.0,0.0,190.0
70,800,1044.0,0.0,40.0,207.0,189.0,710.0,0.0,207.0
71,800,1197.0,0.0,360.0,203.0,190.0,693.0,0.0,203.0
72,800,1034.0,0.0,40.0,198.0,207.0,697.0,0.0,198.0
73,800,1196.0,0.0,360.0,202.0,203.0,702.0,0.0,202.0
74,800,1034.0,0.0,40.0,187.0,198.0,698.0,0.0,187.0
75,800,1207.0,0.0,360.0,217.0,202.0,713.0,0.0,217.0
76,800,1030.0,0.0,40.0,189.0,187.0,683.0,0.0,189.0
77,800,1201.0,0.0,360.0,208.0,217.0,711.0,0.0,208.0
78,800,1033.0,0.0,40.0,195.0,189.0,692.0,0.0,195.0
79,800,1198.0,0.0,360.0,203.0,208.0,705.0,0.0,203.0
80,800,1035.0,0.0,40.0,184.0,195.0,697.0,0.0,184.0
81,800,1211.0,0.0,360.0,211.0,203.0,716.0,0.0,211.0
82,800,1040.0,0.0,40.0,200.0,184.0,689.0,0.0,200.0
83,800,1200.0,0.0,360.0,207.0,211.0,700.0,0.0,207.0
84,800,1033.0,0.0,40.0,194.0,200.0,693.0,0.0,194.0
85,800,1199.0,0.0,360.0,179.0,207.0,706.0,0.0,179.0
86,800,1060.0,0.0,40.0,202.0,194.0,721.0,0.0,202.0
87,800,1218.0,0.0,360.0,198.0,179.0,698.0,0.0,198.0
88,800,1060.0,0.0,40.0,211.0,202.0,702.0,0.0,211.0
89,800,1209.0,0.0,360.0,181.0,198.0,689.0,0.0,181.0
90,800,1068.0,0.0,40.0,219.0,211.0,719.0,0.0,219.0
91,800,1209.0,0.0,360.0,200.0,181.0,681.0,0.0,200.0
92,800,1049.0,0.0,40.0,192.0,219.0,700.0,0.0,192.0
93,800,1217.0,0.0,360.0,207.0,200.0,708.0,0.0,207.0
94,800,1050.0,0.0,40.0,202.0,192.0,693.0,0.0,202.0
95,800,1208.0,0.0,360.0,200.0,207.0,698.0,0.0,200.0
96,800,1048.0,0.0,40.0,201.0,202.0,700.0,0.0,201.0
97,800,1207.0,0.0,360.0,201.0,200.0,699.0,0.0,201.0
98,800,1046.0,0.0,40.0,188.0,201.0,699.0,0.0,188.0
99,800,1218.0,0.0,360.0,208.0,201.0,712.0,0.0,208.0
100,800,1050.0,0.0,40.0,193.0,188.0,692.0,0.0,193.0
101,800,1217.0,0.0,360.0,217.0,208.0,707.0,0.0,217.0
102,800,1040.0,0.0,40.0,214.0,193.0,683.0,0.0,214.0
103,800,1186.0,0.0,360.0,188.0,217.0,686.0,0.0,188.0
104,800,1038.0,0.0,40.0,207.0,214.0,712.0,0.0,207.0
105,800,1191.0,0.0,360.0,213.0,188.0,693.0,0.0,213.0
106,800,1018.0,0.0,40.0,185.0,207.0,687.0,0.0,185.0
107,800,1193.0,0.0,360.0,183.0,213.0,715.0,0.0,183.0
108,800,1050.0,0.0,40.0,203.0,185.0,717.0,0.0,203.0
109,800,1207.0,0.0,360.0,208.0,183.0,697.0,0.0,208.0
110,800,1039.0,0.0,40.0,211.0,203.0,692.0,0.0,211.0
111,800,1188.0,0.0,360.0,198.0,208.0,689.0,0.0,198.0
